% resnet50_bottleneck3  crossbar 128x128  mesh 6x6x3 (108 nodes)
% generated by stage2_dnn_traffic.py -- see STAGE2.md
% run with:  -size 16 16 -dimx 6 -dimy 6 -dimz 3 -traffic table traffics_dnn/resnet50_bottleneck3_xb128_6x6x3.txt
% sweep with: WARMUP_DP_CYCLES=3 SIM_DP_CYCLES=80  (DP_CYCLE=3240, SIM=259200, 10.3 block passes measured)
% LOAD_SCALE=0.05  CYCLES_PER_MAC=0.00013  t_period=25047
% phases:  conv1=[0,3339)  conv2=[3339,18367)  conv3=[18367,25046)  shortcut=[0,25046)
% src dst pir por t_on t_off t_period
   37     0 0.0234871180 0.0234871180        0     3339    25047
   37    23 0.0005150729 0.0005150729        0    25046    25047
   37    26 0.0005150729 0.0005150729        0    25046    25047
   37    27 0.0005150729 0.0005150729        0    25046    25047
   37    28 0.0000139748 0.0000139748        0    25046    25047
   37    29 0.0000139748 0.0000139748        0    25046    25047
   37    32 0.0000139748 0.0000139748        0    25046    25047
   37    59 0.0005150729 0.0005150729        0    25046    25047
   37    62 0.0005150729 0.0005150729        0    25046    25047
   37    63 0.0005150729 0.0005150729        0    25046    25047
   37    64 0.0000139748 0.0000139748        0    25046    25047
   37    65 0.0000139748 0.0000139748        0    25046    25047
   37    68 0.0000139748 0.0000139748        0    25046    25047
   37    73 0.0039544638 0.0039544638        0     3339    25047
   37    95 0.0005150729 0.0005150729        0    25046    25047
   37    98 0.0005150729 0.0005150729        0    25046    25047
   37    99 0.0005150729 0.0005150729        0    25046    25047
   37   100 0.0000139748 0.0000139748        0    25046    25047
   37   101 0.0000139748 0.0000139748        0    25046    25047
   37   104 0.0000139748 0.0000139748        0    25046    25047
   38    19 0.0004491915 0.0004491915     3339    18367    25047
   38    24 0.0004491915 0.0004491915     3339    18367    25047
   38    25 0.0004491915 0.0004491915     3339    18367    25047
   38    30 0.0008584548 0.0008584548     3339    18367    25047
   38    31 0.0008584548 0.0008584548     3339    18367    25047
   38    55 0.0004491915 0.0004491915     3339    18367    25047
   38    60 0.0004491915 0.0004491915     3339    18367    25047
   38    61 0.0008584548 0.0008584548     3339    18367    25047
   38    66 0.0008584548 0.0008584548     3339    18367    25047
   38    67 0.0008584548 0.0008584548     3339    18367    25047
   38    90 0.0004491915 0.0004491915     3339    18367    25047
   38    91 0.0004491915 0.0004491915     3339    18367    25047
   38    96 0.0004491915 0.0004491915     3339    18367    25047
   38    97 0.0008584548 0.0008584548     3339    18367    25047
   38   102 0.0008584548 0.0008584548     3339    18367    25047
   38   103 0.0008584548 0.0008584548     3339    18367    25047
   39     2 0.0052172756 0.0052172756     3339    18367    25047
   40    38 0.0052172756 0.0052172756     3339    18367    25047
   41     2 0.0052172756 0.0052172756     3339    18367    25047
   42    36 0.0234871180 0.0234871180        0     3339    25047
   43     0 0.0234871180 0.0234871180        0     3339    25047
   43    33 0.0005030944 0.0005030944        0    25046    25047
   43    34 0.0005030944 0.0005030944        0    25046    25047
   43    35 0.0005030944 0.0005030944        0    25046    25047
   43    69 0.0005030944 0.0005030944        0    25046    25047
   43    70 0.0005030944 0.0005030944        0    25046    25047
   43    71 0.0005030944 0.0005030944        0    25046    25047
   43    79 0.0037747154 0.0037747154        0     3339    25047
   43   105 0.0005030944 0.0005030944        0    25046    25047
   43   106 0.0005030944 0.0005030944        0    25046    25047
   43   107 0.0005030944 0.0005030944        0    25046    25047
   44    38 0.0052172756 0.0052172756     3339    18367    25047
   45     2 0.0052172756 0.0052172756     3339    18367    25047
   46    38 0.0052172756 0.0052172756     3339    18367    25047
   47     2 0.0052172756 0.0052172756     3339    18367    25047
   50    38 0.0052172756 0.0052172756     3339    18367    25047
   51     2 0.0052172756 0.0052172756     3339    18367    25047
   52    38 0.0052172756 0.0052172756     3339    18367    25047
   53     2 0.0052172756 0.0052172756     3339    18367    25047
   55    84 0.0117400419 0.0117400419    18367    25046    25047
   56    12 0.0000858455 0.0000858455        0    25046    25047
   56    48 0.0006128968 0.0006128968        0    25046    25047
   57    13 0.0003433819 0.0003433819        0    25046    25047
   57    49 0.0003553604 0.0003553604        0    25046    25047
   58    18 0.0006009183 0.0006009183        0    25046    25047
   58    54 0.0000978239 0.0000978239        0    25046    25047
   59    56 0.0027889798 0.0027889798        0    25046    25047
   60    85 0.0117400419 0.0117400419    18367    25046    25047
   61    12 0.0117400419 0.0117400419    18367    25046    25047
   62    57 0.0027889798 0.0027889798        0    25046    25047
   63    58 0.0027889798 0.0027889798        0    25046    25047
   64    56 0.0027889798 0.0027889798        0    25046    25047
   65    57 0.0027889798 0.0027889798        0    25046    25047
   66    13 0.0117400419 0.0117400419    18367    25046    25047
   67    18 0.0117400419 0.0117400419    18367    25046    25047
   68    58 0.0027889798 0.0027889798        0    25046    25047
   69    56 0.0027889798 0.0027889798        0    25046    25047
   70    57 0.0027889798 0.0027889798        0    25046    25047
   71    58 0.0027889798 0.0027889798        0    25046    25047
   72     0 0.0234871180 0.0234871180        0     3339    25047
   72     1 0.0039544638 0.0039544638        0     3339    25047
   72    20 0.0002575364 0.0002575364        0    25046    25047
   72    21 0.0002575364 0.0002575364        0    25046    25047
   72    22 0.0002575364 0.0002575364        0    25046    25047
   72    23 0.0002695149 0.0002695149        0    25046    25047
   72    26 0.0002695149 0.0002695149        0    25046    25047
   72    27 0.0002695149 0.0002695149        0    25046    25047
   72    56 0.0002575364 0.0002575364        0    25046    25047
   72    57 0.0002575364 0.0002575364        0    25046    25047
   72    58 0.0002575364 0.0002575364        0    25046    25047
   72    59 0.0002695149 0.0002695149        0    25046    25047
   72    62 0.0002695149 0.0002695149        0    25046    25047
   72    63 0.0002695149 0.0002695149        0    25046    25047
   72    92 0.0002575364 0.0002575364        0    25046    25047
   72    93 0.0002575364 0.0002575364        0    25046    25047
   72    94 0.0002575364 0.0002575364        0    25046    25047
   72    95 0.0002695149 0.0002695149        0    25046    25047
   72    98 0.0002695149 0.0002695149        0    25046    25047
   72    99 0.0002695149 0.0002695149        0    25046    25047
   73    36 0.0234871180 0.0234871180        0     3339    25047
   74     2 0.0052172756 0.0052172756     3339    18367    25047
   75    38 0.0052172756 0.0052172756     3339    18367    25047
   76     2 0.0052172756 0.0052172756     3339    18367    25047
   77    38 0.0052172756 0.0052172756     3339    18367    25047
   78     0 0.0234871180 0.0234871180        0     3339    25047
   78     7 0.0039544638 0.0039544638        0     3339    25047
   78    28 0.0002455580 0.0002455580        0    25046    25047
   78    29 0.0002455580 0.0002455580        0    25046    25047
   78    32 0.0002455580 0.0002455580        0    25046    25047
   78    33 0.0002814933 0.0002814933        0    25046    25047
   78    34 0.0002814933 0.0002814933        0    25046    25047
   78    35 0.0002814933 0.0002814933        0    25046    25047
   78    64 0.0002455580 0.0002455580        0    25046    25047
   78    65 0.0002455580 0.0002455580        0    25046    25047
   78    68 0.0002455580 0.0002455580        0    25046    25047
   78    69 0.0002814933 0.0002814933        0    25046    25047
   78    70 0.0002814933 0.0002814933        0    25046    25047
   78    71 0.0002814933 0.0002814933        0    25046    25047
   78   100 0.0002455580 0.0002455580        0    25046    25047
   78   101 0.0002455580 0.0002455580        0    25046    25047
   78   104 0.0002455580 0.0002455580        0    25046    25047
   78   105 0.0002814933 0.0002814933        0    25046    25047
   78   106 0.0002814933 0.0002814933        0    25046    25047
   78   107 0.0002814933 0.0002814933        0    25046    25047
   79    36 0.0234871180 0.0234871180        0     3339    25047
   80     2 0.0052172756 0.0052172756     3339    18367    25047
   81    38 0.0052172756 0.0052172756     3339    18367    25047
   82     2 0.0052172756 0.0052172756     3339    18367    25047
   83    38 0.0052172756 0.0052172756     3339    18367    25047
   86     2 0.0052172756 0.0052172756     3339    18367    25047
   87    38 0.0052172756 0.0052172756     3339    18367    25047
   88     2 0.0052172756 0.0052172756     3339    18367    25047
   89    38 0.0052172756 0.0052172756     3339    18367    25047
   90    12 0.0117400419 0.0117400419    18367    25046    25047
   91    13 0.0117400419 0.0117400419    18367    25046    25047
   92    48 0.0001716910 0.0001716910        0    25046    25047
   92    84 0.0005270513 0.0005270513        0    25046    25047
   93    49 0.0004292274 0.0004292274        0    25046    25047
   93    85 0.0002695149 0.0002695149        0    25046    25047
   94    54 0.0006847674 0.0006847674        0    25046    25047
   95    92 0.0027889798 0.0027889798        0    25046    25047
   96    18 0.0117400419 0.0117400419    18367    25046    25047
   97    48 0.0117400419 0.0117400419    18367    25046    25047
   98    93 0.0027889798 0.0027889798        0    25046    25047
   99    94 0.0027390697 0.0027390697        0    25046    25047
  100    92 0.0027889798 0.0027889798        0    25046    25047
  101    93 0.0027889798 0.0027889798        0    25046    25047
  102    49 0.0117400419 0.0117400419    18367    25046    25047
  103    54 0.0117400419 0.0117400419    18367    25046    25047
  104    94 0.0027390697 0.0027390697        0    25046    25047
  105    92 0.0027889798 0.0027889798        0    25046    25047
  106    93 0.0027889798 0.0027889798        0    25046    25047
  107    94 0.0027390697 0.0027390697        0    25046    25047
