node,x,y,z,layer,r,c,role
0,0,0,0,conv2,0,0,accumulator
1,1,0,0,conv2,1,1,tile
2,2,0,0,conv2,3,0,tile
3,3,0,0,shortcut,0,0,accumulator
4,4,0,0,shortcut,0,2,accumulator
5,5,0,0,shortcut,0,4,accumulator
6,6,0,0,shortcut,0,6,accumulator
7,0,1,0,conv2,4,1,tile
8,1,1,0,conv2,6,0,tile
9,2,1,0,conv2,7,1,tile
10,3,1,0,shortcut,1,0,tile
11,4,1,0,shortcut,1,2,tile
12,5,1,0,shortcut,1,4,tile
13,6,1,0,shortcut,1,6,tile
14,0,2,0,conv2,9,0,tile
15,1,2,0,conv2,10,1,tile
16,2,2,0,conv2,12,0,tile
17,3,2,0,shortcut,2,0,tile
18,4,2,0,shortcut,2,2,tile
19,5,2,0,shortcut,2,4,tile
20,6,2,0,shortcut,2,6,tile
21,0,3,0,conv2,13,1,tile
22,1,3,0,conv2,15,0,tile
23,2,3,0,conv2,16,1,tile
24,3,3,0,shortcut,3,0,tile
25,4,3,0,shortcut,3,2,tile
26,5,3,0,shortcut,3,4,tile
27,6,3,0,shortcut,3,6,tile
28,0,4,0,conv1,0,0,accumulator
29,1,4,0,conv1,1,0,tile
30,2,4,0,-,,,idle
31,3,4,0,-,,,idle
32,4,4,0,-,,,idle
33,5,4,0,-,,,idle
34,6,4,0,-,,,idle
35,0,5,0,conv1,2,0,tile
36,1,5,0,conv1,3,0,tile
37,2,5,0,-,,,idle
38,3,5,0,-,,,idle
39,4,5,0,-,,,idle
40,5,5,0,-,,,idle
41,6,5,0,-,,,idle
42,0,6,0,-,,,idle
43,1,6,0,-,,,idle
44,2,6,0,-,,,idle
45,3,6,0,-,,,idle
46,4,6,0,-,,,idle
47,5,6,0,-,,,idle
48,6,6,0,-,,,idle
49,0,0,1,conv2,0,1,accumulator
50,1,0,1,conv2,2,0,tile
51,2,0,1,conv2,3,1,tile
52,3,0,1,shortcut,0,1,accumulator
53,4,0,1,shortcut,0,3,accumulator
54,5,0,1,shortcut,0,5,accumulator
55,6,0,1,shortcut,0,7,accumulator
56,0,1,1,conv2,5,0,tile
57,1,1,1,conv2,6,1,tile
58,2,1,1,conv2,8,0,tile
59,3,1,1,shortcut,1,1,tile
60,4,1,1,shortcut,1,3,tile
61,5,1,1,shortcut,1,5,tile
62,6,1,1,shortcut,1,7,tile
63,0,2,1,conv2,9,1,tile
64,1,2,1,conv2,11,0,tile
65,2,2,1,conv2,12,1,tile
66,3,2,1,shortcut,2,1,tile
67,4,2,1,shortcut,2,3,tile
68,5,2,1,shortcut,2,5,tile
69,6,2,1,shortcut,2,7,tile
70,0,3,1,conv2,14,0,tile
71,1,3,1,conv2,15,1,tile
72,2,3,1,conv2,17,0,tile
73,3,3,1,shortcut,3,1,tile
74,4,3,1,shortcut,3,3,tile
75,5,3,1,shortcut,3,5,tile
76,6,3,1,shortcut,3,7,tile
77,0,4,1,conv1,0,1,accumulator
78,1,4,1,conv1,1,1,tile
79,2,4,1,-,,,idle
80,3,4,1,-,,,idle
81,4,4,1,-,,,idle
82,5,4,1,-,,,idle
83,6,4,1,-,,,idle
84,0,5,1,conv1,2,1,tile
85,1,5,1,conv1,3,1,tile
86,2,5,1,-,,,idle
87,3,5,1,-,,,idle
88,4,5,1,-,,,idle
89,5,5,1,-,,,idle
90,6,5,1,-,,,idle
91,0,6,1,-,,,idle
92,1,6,1,-,,,idle
93,2,6,1,-,,,idle
94,3,6,1,-,,,idle
95,4,6,1,-,,,idle
96,5,6,1,-,,,idle
97,6,6,1,-,,,idle
98,0,0,2,conv2,1,0,tile
99,1,0,2,conv2,2,1,tile
100,2,0,2,conv2,4,0,tile
101,3,0,2,conv3,0,0,accumulator
102,4,0,2,conv3,0,1,accumulator
103,5,0,2,conv3,0,2,accumulator
104,6,0,2,conv3,0,3,accumulator
105,0,1,2,conv2,5,1,tile
106,1,1,2,conv2,7,0,tile
107,2,1,2,conv2,8,1,tile
108,3,1,2,conv3,0,4,accumulator
109,4,1,2,conv3,0,5,accumulator
110,5,1,2,conv3,0,6,accumulator
111,6,1,2,conv3,0,7,accumulator
112,0,2,2,conv2,10,0,tile
113,1,2,2,conv2,11,1,tile
114,2,2,2,conv2,13,0,tile
115,3,2,2,conv3,1,0,tile
116,4,2,2,conv3,1,1,tile
117,5,2,2,conv3,1,2,tile
118,6,2,2,conv3,1,3,tile
119,0,3,2,conv2,14,1,tile
120,1,3,2,conv2,16,0,tile
121,2,3,2,conv2,17,1,tile
122,3,3,2,conv3,1,4,tile
123,4,3,2,conv3,1,5,tile
124,5,3,2,conv3,1,6,tile
125,6,3,2,conv3,1,7,tile
126,0,4,2,-,,,idle
127,1,4,2,-,,,idle
128,2,4,2,-,,,idle
129,3,4,2,-,,,idle
130,4,4,2,-,,,idle
131,5,4,2,-,,,idle
132,6,4,2,-,,,idle
133,0,5,2,-,,,idle
134,1,5,2,-,,,idle
135,2,5,2,-,,,idle
136,3,5,2,-,,,idle
137,4,5,2,-,,,idle
138,5,5,2,-,,,idle
139,6,5,2,-,,,idle
140,0,6,2,-,,,idle
141,1,6,2,-,,,idle
142,2,6,2,-,,,idle
143,3,6,2,-,,,idle
144,4,6,2,-,,,idle
145,5,6,2,-,,,idle
146,6,6,2,-,,,idle
