% resnet50_bottleneck3  crossbar 128x128  mesh 6x6x3 (108 nodes)
% generated by stage2_core.py -- see STAGE2.md
% run with:  -size 16 16 -dimx 6 -dimy 6 -dimz 3 -traffic table traffics_dnn_packing/resnet50_bottleneck3_xb128_6x6x3_c16r8s2.txt
% sweep with: WARMUP_DP_CYCLES=3 SIM_DP_CYCLES=80  (DP_CYCLE=648, SIM=51840, 1.3 block passes measured)
% LOAD_SCALE=0.026  CYCLES_PER_MAC=0.0002  t_period=38536
% phases:  conv1=[0,5138)  conv2=[5138,28259)  conv3=[28259,38535)  shortcut=[0,38535)
% src dst pir por t_on t_off t_period
    0     1 0.0079361495 0.0079361495        0     5138    38536
    0     2 0.0079361495 0.0079361495        0     5138    38536
    0     3 0.0079361495 0.0079361495        0     5138    38536
    0     4 0.0079361495 0.0079361495        0     5138    38536
    0     5 0.0079361495 0.0079361495        0     5138    38536
    0     6 0.0079361495 0.0079361495        0     5138    38536
    0     7 0.0079361495 0.0079361495        0     5138    38536
    0     8 0.0004960093 0.0004960093        0     5138    38536
    0     9 0.0004960093 0.0004960093        0     5138    38536
    0    10 0.0004960093 0.0004960093        0     5138    38536
    0    11 0.0004960093 0.0004960093        0     5138    38536
    0    12 0.0004960093 0.0004960093        0     5138    38536
    0    13 0.0004960093 0.0004960093        0     5138    38536
    0    14 0.0004960093 0.0004960093        0     5138    38536
    0    15 0.0004960093 0.0004960093        0     5138    38536
    0    64 0.0010579748 0.0010579748        0    38535    38536
    0    65 0.0010579748 0.0010579748        0    38535    38536
    0    66 0.0010579748 0.0010579748        0    38535    38536
    0    67 0.0010579748 0.0010579748        0    38535    38536
    0    68 0.0010579748 0.0010579748        0    38535    38536
    0    69 0.0010579748 0.0010579748        0    38535    38536
    0    70 0.0010579748 0.0010579748        0    38535    38536
    0    71 0.0010579748 0.0010579748        0    38535    38536
    0    72 0.0010579748 0.0010579748        0    38535    38536
    0    73 0.0010579748 0.0010579748        0    38535    38536
    0    74 0.0010579748 0.0010579748        0    38535    38536
    0    75 0.0010579748 0.0010579748        0    38535    38536
    0    76 0.0010579748 0.0010579748        0    38535    38536
    0    77 0.0010579748 0.0010579748        0    38535    38536
    0    78 0.0010579748 0.0010579748        0    38535    38536
    0    79 0.0010579748 0.0010579748        0    38535    38536
    0    80 0.0010579748 0.0010579748        0    38535    38536
    0    81 0.0010579748 0.0010579748        0    38535    38536
    0    82 0.0010579748 0.0010579748        0    38535    38536
    0    83 0.0010579748 0.0010579748        0    38535    38536
    0    84 0.0010579748 0.0010579748        0    38535    38536
    0    85 0.0010579748 0.0010579748        0    38535    38536
    0    86 0.0010579748 0.0010579748        0    38535    38536
    0    87 0.0010579748 0.0010579748        0    38535    38536
    0    88 0.0010579748 0.0010579748        0    38535    38536
    0    89 0.0010579748 0.0010579748        0    38535    38536
    0    90 0.0010579748 0.0010579748        0    38535    38536
    0    91 0.0010579748 0.0010579748        0    38535    38536
    0    92 0.0010579748 0.0010579748        0    38535    38536
    0    93 0.0010579748 0.0010579748        0    38535    38536
    0    94 0.0010579748 0.0010579748        0    38535    38536
    0    95 0.0010579748 0.0010579748        0    38535    38536
    1     8 0.0004960093 0.0004960093        0     5138    38536
    1     9 0.0004960093 0.0004960093        0     5138    38536
    1    10 0.0004960093 0.0004960093        0     5138    38536
    1    11 0.0004960093 0.0004960093        0     5138    38536
    1    12 0.0004960093 0.0004960093        0     5138    38536
    1    13 0.0004960093 0.0004960093        0     5138    38536
    1    14 0.0004960093 0.0004960093        0     5138    38536
    1    15 0.0004960093 0.0004960093        0     5138    38536
    2     8 0.0003441697 0.0003441697        0     5138    38536
    2     9 0.0003441697 0.0003441697        0     5138    38536
    2    10 0.0003441697 0.0003441697        0     5138    38536
    2    11 0.0003441697 0.0003441697        0     5138    38536
    2    12 0.0003441697 0.0003441697        0     5138    38536
    2    13 0.0003441697 0.0003441697        0     5138    38536
    2    14 0.0003441697 0.0003441697        0     5138    38536
    2    15 0.0003441697 0.0003441697        0     5138    38536
    2    16 0.0001720849 0.0001720849        0     5138    38536
    2    17 0.0001720849 0.0001720849        0     5138    38536
    2    18 0.0001720849 0.0001720849        0     5138    38536
    2    19 0.0001720849 0.0001720849        0     5138    38536
    2    20 0.0001720849 0.0001720849        0     5138    38536
    2    21 0.0001720849 0.0001720849        0     5138    38536
    2    22 0.0001720849 0.0001720849        0     5138    38536
    2    23 0.0001720849 0.0001720849        0     5138    38536
    3    16 0.0004960093 0.0004960093        0     5138    38536
    3    17 0.0004960093 0.0004960093        0     5138    38536
    3    18 0.0004960093 0.0004960093        0     5138    38536
    3    19 0.0004960093 0.0004960093        0     5138    38536
    3    20 0.0004960093 0.0004960093        0     5138    38536
    3    21 0.0004960093 0.0004960093        0     5138    38536
    3    22 0.0004960093 0.0004960093        0     5138    38536
    3    23 0.0004960093 0.0004960093        0     5138    38536
    4    16 0.0004960093 0.0004960093        0     5138    38536
    4    17 0.0004960093 0.0004960093        0     5138    38536
    4    18 0.0004960093 0.0004960093        0     5138    38536
    4    19 0.0004960093 0.0004960093        0     5138    38536
    4    20 0.0004960093 0.0004960093        0     5138    38536
    4    21 0.0004960093 0.0004960093        0     5138    38536
    4    22 0.0004960093 0.0004960093        0     5138    38536
    4    23 0.0004960093 0.0004960093        0     5138    38536
    5    16 0.0001720849 0.0001720849        0     5138    38536
    5    17 0.0001720849 0.0001720849        0     5138    38536
    5    18 0.0001720849 0.0001720849        0     5138    38536
    5    19 0.0001720849 0.0001720849        0     5138    38536
    5    20 0.0001720849 0.0001720849        0     5138    38536
    5    21 0.0001720849 0.0001720849        0     5138    38536
    5    22 0.0001720849 0.0001720849        0     5138    38536
    5    23 0.0001720849 0.0001720849        0     5138    38536
    5    24 0.0003441697 0.0003441697        0     5138    38536
    5    25 0.0003441697 0.0003441697        0     5138    38536
    5    26 0.0003441697 0.0003441697        0     5138    38536
    5    27 0.0003441697 0.0003441697        0     5138    38536
    5    28 0.0003441697 0.0003441697        0     5138    38536
    5    29 0.0003441697 0.0003441697        0     5138    38536
    5    30 0.0003441697 0.0003441697        0     5138    38536
    5    31 0.0003441697 0.0003441697        0     5138    38536
    6    24 0.0004960093 0.0004960093        0     5138    38536
    6    25 0.0004960093 0.0004960093        0     5138    38536
    6    26 0.0004960093 0.0004960093        0     5138    38536
    6    27 0.0004960093 0.0004960093        0     5138    38536
    6    28 0.0004960093 0.0004960093        0     5138    38536
    6    29 0.0004960093 0.0004960093        0     5138    38536
    6    30 0.0004960093 0.0004960093        0     5138    38536
    6    31 0.0004960093 0.0004960093        0     5138    38536
    7    24 0.0004960093 0.0004960093        0     5138    38536
    7    25 0.0004960093 0.0004960093        0     5138    38536
    7    26 0.0004960093 0.0004960093        0     5138    38536
    7    27 0.0004960093 0.0004960093        0     5138    38536
    7    28 0.0004960093 0.0004960093        0     5138    38536
    7    29 0.0004960093 0.0004960093        0     5138    38536
    7    30 0.0004960093 0.0004960093        0     5138    38536
    7    31 0.0004960093 0.0004960093        0     5138    38536
    8    32 0.0001102076 0.0001102076     5138    28259    38536
    8    33 0.0001102076 0.0001102076     5138    28259    38536
    8    34 0.0001102076 0.0001102076     5138    28259    38536
    8    35 0.0001102076 0.0001102076     5138    28259    38536
    8    36 0.0001102076 0.0001102076     5138    28259    38536
    8    37 0.0001102076 0.0001102076     5138    28259    38536
    8    38 0.0001102076 0.0001102076     5138    28259    38536
    8    39 0.0001102076 0.0001102076     5138    28259    38536
    8    40 0.0001102076 0.0001102076     5138    28259    38536
    8    41 0.0001102076 0.0001102076     5138    28259    38536
    8    42 0.0001102076 0.0001102076     5138    28259    38536
    8    43 0.0001102076 0.0001102076     5138    28259    38536
    8    44 0.0001102076 0.0001102076     5138    28259    38536
    8    45 0.0001102076 0.0001102076     5138    28259    38536
    8    46 0.0001102076 0.0001102076     5138    28259    38536
    8    47 0.0001102076 0.0001102076     5138    28259    38536
    8    48 0.0001102076 0.0001102076     5138    28259    38536
    8    49 0.0001102076 0.0001102076     5138    28259    38536
    8    50 0.0001102076 0.0001102076     5138    28259    38536
    8    51 0.0001102076 0.0001102076     5138    28259    38536
    8    52 0.0001102076 0.0001102076     5138    28259    38536
    8    53 0.0001102076 0.0001102076     5138    28259    38536
    8    54 0.0001102076 0.0001102076     5138    28259    38536
    8    55 0.0001102076 0.0001102076     5138    28259    38536
    8    56 0.0001102076 0.0001102076     5138    28259    38536
    8    57 0.0001102076 0.0001102076     5138    28259    38536
    8    58 0.0001102076 0.0001102076     5138    28259    38536
    8    59 0.0001102076 0.0001102076     5138    28259    38536
    8    60 0.0001102076 0.0001102076     5138    28259    38536
    8    61 0.0001102076 0.0001102076     5138    28259    38536
    8    62 0.0001102076 0.0001102076     5138    28259    38536
    8    63 0.0001102076 0.0001102076     5138    28259    38536
    9    32 0.0001102076 0.0001102076     5138    28259    38536
    9    33 0.0001102076 0.0001102076     5138    28259    38536
    9    34 0.0001102076 0.0001102076     5138    28259    38536
    9    35 0.0001102076 0.0001102076     5138    28259    38536
    9    36 0.0001102076 0.0001102076     5138    28259    38536
    9    37 0.0001102076 0.0001102076     5138    28259    38536
    9    38 0.0001102076 0.0001102076     5138    28259    38536
    9    39 0.0001102076 0.0001102076     5138    28259    38536
    9    40 0.0001102076 0.0001102076     5138    28259    38536
    9    41 0.0001102076 0.0001102076     5138    28259    38536
