node,x,y,z,layer,r,c,role
0,0,0,0,conv1,0,0,accumulator
1,1,0,0,conv1,0,1,accumulator
2,2,0,0,conv1,0,2,accumulator
3,3,0,0,conv1,0,3,accumulator
4,4,0,0,conv1,1,0,tile
5,5,0,0,conv1,1,1,tile
6,0,1,0,conv1,1,2,tile
7,1,1,0,conv1,1,3,tile
8,2,1,0,conv2,0,0,accumulator
9,3,1,0,conv2,0,1,accumulator
10,4,1,0,conv2,0,2,accumulator
11,5,1,0,conv2,0,3,accumulator
12,0,2,0,conv2,1,0,tile
13,1,2,0,conv2,1,1,tile
14,2,2,0,conv2,1,2,tile
15,3,2,0,conv2,1,3,tile
16,4,2,0,conv2,2,0,tile
17,5,2,0,conv2,2,1,tile
18,0,3,0,conv2,2,2,tile
19,1,3,0,conv2,2,3,tile
20,2,3,0,conv2,3,0,tile
21,3,3,0,conv2,3,1,tile
22,4,3,0,conv2,3,2,tile
23,5,3,0,conv2,3,3,tile
24,0,4,0,conv2,4,0,tile
25,1,4,0,conv2,4,1,tile
26,2,4,0,conv2,4,2,tile
27,3,4,0,conv2,4,3,tile
28,4,4,0,conv2,5,0,tile
29,5,4,0,conv2,5,1,tile
30,0,5,0,conv2,5,2,tile
31,1,5,0,conv2,5,3,tile
32,2,5,0,conv2,6,0,tile
33,3,5,0,conv2,6,1,tile
34,4,5,0,conv2,6,2,tile
35,5,5,0,conv2,6,3,tile
36,0,0,1,conv2,7,0,tile
37,1,0,1,conv2,7,1,tile
38,2,0,1,conv2,7,2,tile
39,3,0,1,conv2,7,3,tile
40,4,0,1,conv2,8,0,tile
41,5,0,1,conv2,8,1,tile
42,0,1,1,conv2,8,2,tile
43,1,1,1,conv2,8,3,tile
44,2,1,1,conv3,0,0,accumulator
45,3,1,1,conv3,0,1,accumulator
46,4,1,1,conv3,0,2,accumulator
47,5,1,1,conv3,0,3,accumulator
48,0,2,1,conv3,0,4,accumulator
49,1,2,1,conv3,0,5,accumulator
50,2,2,1,conv3,0,6,accumulator
51,3,2,1,conv3,0,7,accumulator
52,4,2,1,conv3,0,8,accumulator
53,5,2,1,conv3,0,9,accumulator
54,0,3,1,conv3,0,10,accumulator
55,1,3,1,conv3,0,11,accumulator
56,2,3,1,conv3,0,12,accumulator
57,3,3,1,conv3,0,13,accumulator
58,4,3,1,conv3,0,14,accumulator
59,5,3,1,conv3,0,15,accumulator
60,0,4,1,shortcut,0,0,accumulator
61,1,4,1,shortcut,0,1,accumulator
62,2,4,1,shortcut,0,2,accumulator
63,3,4,1,shortcut,0,3,accumulator
64,4,4,1,shortcut,0,4,accumulator
65,5,4,1,shortcut,0,5,accumulator
66,0,5,1,shortcut,0,6,accumulator
67,1,5,1,shortcut,0,7,accumulator
68,2,5,1,shortcut,0,8,accumulator
69,3,5,1,shortcut,0,9,accumulator
70,4,5,1,shortcut,0,10,accumulator
71,5,5,1,shortcut,0,11,accumulator
72,0,0,2,shortcut,0,12,accumulator
73,1,0,2,shortcut,0,13,accumulator
74,2,0,2,shortcut,0,14,accumulator
75,3,0,2,shortcut,0,15,accumulator
76,4,0,2,shortcut,1,0,tile
77,5,0,2,shortcut,1,1,tile
78,0,1,2,shortcut,1,2,tile
79,1,1,2,shortcut,1,3,tile
80,2,1,2,shortcut,1,4,tile
81,3,1,2,shortcut,1,5,tile
82,4,1,2,shortcut,1,6,tile
83,5,1,2,shortcut,1,7,tile
84,0,2,2,shortcut,1,8,tile
85,1,2,2,shortcut,1,9,tile
86,2,2,2,shortcut,1,10,tile
87,3,2,2,shortcut,1,11,tile
88,4,2,2,shortcut,1,12,tile
89,5,2,2,shortcut,1,13,tile
90,0,3,2,shortcut,1,14,tile
91,1,3,2,shortcut,1,15,tile
92,2,3,2,-,,,idle
93,3,3,2,-,,,idle
94,4,3,2,-,,,idle
95,5,3,2,-,,,idle
96,0,4,2,-,,,idle
97,1,4,2,-,,,idle
98,2,4,2,-,,,idle
99,3,4,2,-,,,idle
100,4,4,2,-,,,idle
101,5,4,2,-,,,idle
102,0,5,2,-,,,idle
103,1,5,2,-,,,idle
104,2,5,2,-,,,idle
105,3,5,2,-,,,idle
106,4,5,2,-,,,idle
107,5,5,2,-,,,idle
