% resnet50_bottleneck3  crossbar 128x128  mesh 6x6x3 (108 nodes)
% generated by stage2_core.py -- see STAGE2.md
% run with:  -size 16 16 -dimx 6 -dimy 6 -dimz 3 -traffic table traffics_dnn_packing/resnet50_bottleneck3_xb128_6x6x3_c16r2s8.txt
% sweep with: WARMUP_DP_CYCLES=3 SIM_DP_CYCLES=80  (DP_CYCLE=648, SIM=51840, 1.3 block passes measured)
% LOAD_SCALE=0.026  CYCLES_PER_MAC=0.0002  t_period=38536
% phases:  conv1=[0,5138)  conv2=[5138,28259)  conv3=[28259,38535)  shortcut=[0,38535)
% src dst pir por t_on t_off t_period
    0     1 0.0039680748 0.0039680748        0     5138    38536
    0     4 0.0004504575 0.0004504575        0     5138    38536
    0     5 0.0004504575 0.0004504575        0     5138    38536
    0     6 0.0004504575 0.0004504575        0     5138    38536
    0     7 0.0004504575 0.0004504575        0     5138    38536
    0     8 0.0004656414 0.0004656414        0     5138    38536
    0     9 0.0004656414 0.0004656414        0     5138    38536
    0    10 0.0004504575 0.0004504575        0     5138    38536
    0    11 0.0004504575 0.0004504575        0     5138    38536
    0    12 0.0002328207 0.0002328207        0     5138    38536
    0    13 0.0002328207 0.0002328207        0     5138    38536
    0    30 0.0005289874 0.0005289874        0    38535    38536
    0    31 0.0005289874 0.0005289874        0    38535    38536
    0    32 0.0005289874 0.0005289874        0    38535    38536
    0    33 0.0005289874 0.0005289874        0    38535    38536
    0    34 0.0005289874 0.0005289874        0    38535    38536
    0    35 0.0005289874 0.0005289874        0    38535    38536
    0    36 0.0005289874 0.0005289874        0    38535    38536
    0    37 0.0005289874 0.0005289874        0    38535    38536
    1    12 0.0002328207 0.0002328207        0     5138    38536
    1    13 0.0002328207 0.0002328207        0     5138    38536
    1    14 0.0004504575 0.0004504575        0     5138    38536
    1    15 0.0004504575 0.0004504575        0     5138    38536
    1    16 0.0004656414 0.0004656414        0     5138    38536
    1    17 0.0004656414 0.0004656414        0     5138    38536
    1    18 0.0004504575 0.0004504575        0     5138    38536
    1    19 0.0004504575 0.0004504575        0     5138    38536
    1    20 0.0004504575 0.0004504575        0     5138    38536
    1    21 0.0004504575 0.0004504575        0     5138    38536
    2     0 0.0079361495 0.0079361495        0     5138    38536
    2     3 0.0039680748 0.0039680748        0     5138    38536
    2    38 0.0005289874 0.0005289874        0    38535    38536
    2    39 0.0005289874 0.0005289874        0    38535    38536
    2    40 0.0005289874 0.0005289874        0    38535    38536
    2    41 0.0005289874 0.0005289874        0    38535    38536
    2    42 0.0005289874 0.0005289874        0    38535    38536
    2    43 0.0005289874 0.0005289874        0    38535    38536
    2    44 0.0005289874 0.0005289874        0    38535    38536
    2    45 0.0005289874 0.0005289874        0    38535    38536
    3     1 0.0079361495 0.0079361495        0     5138    38536
    4    22 0.0004408304 0.0004408304     5138    28259    38536
    4    23 0.0004408304 0.0004408304     5138    28259    38536
    4    24 0.0004408304 0.0004408304     5138    28259    38536
    4    25 0.0004408304 0.0004408304     5138    28259    38536
    4    26 0.0004408304 0.0004408304     5138    28259    38536
    4    27 0.0004408304 0.0004408304     5138    28259    38536
    4    28 0.0004408304 0.0004408304     5138    28259    38536
    4    29 0.0004408304 0.0004408304     5138    28259    38536
    5    22 0.0004408304 0.0004408304     5138    28259    38536
    5    23 0.0004408304 0.0004408304     5138    28259    38536
    5    24 0.0004408304 0.0004408304     5138    28259    38536
    5    25 0.0004408304 0.0004408304     5138    28259    38536
    5    26 0.0004408304 0.0004408304     5138    28259    38536
    5    27 0.0004408304 0.0004408304     5138    28259    38536
    5    28 0.0004408304 0.0004408304     5138    28259    38536
    5    29 0.0004408304 0.0004408304     5138    28259    38536
    6     4 0.0017633218 0.0017633218     5138    28259    38536
    7     5 0.0017633218 0.0017633218     5138    28259    38536
    8     4 0.0017633218 0.0017633218     5138    28259    38536
    9     5 0.0017633218 0.0017633218     5138    28259    38536
   10     4 0.0017633218 0.0017633218     5138    28259    38536
   11     5 0.0017633218 0.0017633218     5138    28259    38536
   12     4 0.0017633218 0.0017633218     5138    28259    38536
   13     5 0.0017633218 0.0017633218     5138    28259    38536
   14     4 0.0017633218 0.0017633218     5138    28259    38536
   15     5 0.0017633218 0.0017633218     5138    28259    38536
   16     4 0.0017633218 0.0017633218     5138    28259    38536
   17     5 0.0017633218 0.0017633218     5138    28259    38536
   18     4 0.0017633218 0.0017633218     5138    28259    38536
   19     5 0.0017633218 0.0017633218     5138    28259    38536
   20     4 0.0017633218 0.0017633218     5138    28259    38536
   21     5 0.0017633218 0.0017633218     5138    28259    38536
   30    22 0.0002644937 0.0002644937        0    38535    38536
   31    23 0.0002644937 0.0002644937        0    38535    38536
   32    24 0.0002644937 0.0002644937        0    38535    38536
   33    25 0.0002644937 0.0002644937        0    38535    38536
   34    26 0.0002644937 0.0002644937        0    38535    38536
   35    27 0.0002644937 0.0002644937        0    38535    38536
   36    28 0.0002644937 0.0002644937        0    38535    38536
   37    29 0.0002644937 0.0002644937        0    38535    38536
   38    30 0.0010579748 0.0010579748        0    38535    38536
   39    31 0.0010579748 0.0010579748        0    38535    38536
   40    32 0.0010579748 0.0010579748        0    38535    38536
   41    33 0.0010579748 0.0010579748        0    38535    38536
   42    34 0.0010579748 0.0010579748        0    38535    38536
   43    35 0.0010579748 0.0010579748        0    38535    38536
   44    36 0.0010579748 0.0010579748        0    38535    38536
   45    37 0.0010579748 0.0010579748        0    38535    38536
