pl_t,e_t,rep,PL,PL_PF,E,CC,hit_pl,hit_E,perm
1.1,0.05,0,0.969925,1.067,0.0628,403967.5,1,1,88 15 69 68 53 52 84 6 82 40 45 46 34 104 32 89 80 94 61 49 54 51 2 56 31 55 7 71 24 30 100 86 28 0 10 18 73 5 106 72 13 38 1 93 20 47 60 19 48 98 74 81 26 58 33 67 39 91 9 97 25 8 16 27 59 3
1.1,0.05,1,0.969987,1.0671,0.0629,422410.2,1,1,86 66 93 70 53 75 3 57 61 47 90 43 34 107 33 96 91 54 100 63 79 52 80 64 4 60 5 39 6 49 104 48 89 40 106 55 68 45 92 85 8 76 105 11 87 102 101 46 23 42 103 7 2 67 1 59 38 29 65 71 28 77 27 18 50 78
1.1,0.05,2,0.97083,1.068,0.0497,422725.4,1,1,58 61 98 104 42 22 54 4 97 59 26 76 91 96 55 56 95 74 78 85 1 71 94 57 107 9 81 10 38 52 49 48 67 50 7 82 100 103 84 65 87 28 14 93 77 21 6 5 83 90 88 24 27 47 20 92 30 73 25 35 40 17 60 68 36 53
1.1,0.05,3,0.985451,1.0841,0.05,416578.1,1,1,27 81 45 56 12 24 37 54 4 10 21 17 93 84 92 30 8 14 25 32 65 46 23 20 82 58 35 103 73 9 60 7 70 34 1 18 0 11 61 91 66 102 5 48 33 2 55 77 94 31 99 68 22 19 97 87 6 57 29 104 38 96 28 15 79 106
1.1,0.55,0,1.02343,1.1259,0.5493,428716.4,1,1,60 72 36 5 20 61 88 64 98 48 96 18 32 86 77 41 84 6 15 85 97 2 4 10 87 38 40 58 57 100 68 99 19 50 82 65 63 59 79 52 37 22 33 92 27 107 14 7 28 69 12 74 24 1 42 105 53 43 93 29 66 56 83 76 26 102
1.1,0.55,1,0.994948,1.0945,0.55,391674.4,1,1,18 57 95 55 56 54 64 65 93 13 48 6 42 20 89 69 51 12 88 94 17 90 4 46 78 74 71 34 26 81 105 80 101 83 67 53 103 19 70 9 47 33 36 85 29 59 21 10 38 86 102 7 31 58 99 87 2 75 37 60 72 96 22 1 24 40
1.1,0.55,2,0.99503,1.0946,0.55,415163.3,1,1,61 106 94 35 72 62 2 73 23 22 78 88 71 38 33 15 96 27 25 24 3 76 39 66 95 19 8 86 107 53 104 87 9 18 102 75 11 28 59 80 41 85 83 91 14 68 84 43 70 32 97 52 6 20 89 92 55 12 40 90 17 64 67 81 16 103
1.1,0.55,3,0.97029,1.0674,0.5525,407910.7,1,1,31 59 58 20 89 33 96 4 12 36 98 25 16 84 32 100 1 55 35 85 71 54 88 49 63 46 42 37 73 93 45 68 78 104 90 66 15 48 7 28 30 41 2 83 69 18 14 0 8 74 87 47 50 91 51 86 92 81 106 6 103 101 27 21 40 99
1.25,0.05,0,1.102581,1.2129,0.0525,423671.3,1,1,32 87 38 3 20 22 48 71 74 8 25 68 39 0 97 18 5 31 30 6 14 56 78 86 107 33 9 4 100 47 76 91 36 81 72 61 102 103 7 27 28 57 34 17 104 59 44 60 54 43 19 40 41 98 70 99 55 106 24 37 88 63 95 64 105 11
1.25,0.05,1,1.103357,1.2138,0.1269,403653.1,1,1,48 45 9 46 47 84 81 15 105 71 79 51 97 44 41 85 87 42 30 50 86 13 90 69 101 19 54 66 1 78 103 16 77 82 98 12 35 11 93 70 23 33 39 83 64 29 89 61 62 53 106 20 57 21 102 94 55 31 65 60 32 73 8 37 72 59
1.25,0.05,2,1.114085,1.2256,0.0501,391043.4,1,1,66 101 77 60 62 18 68 49 64 65 31 67 98 100 58 99 61 90 29 86 6 104 15 78 79 92 26 0 93 44 25 82 81 11 46 57 52 71 83 88 22 73 19 63 42 38 97 3 40 21 13 50 8 5 16 76 14 55 41 7 59 91 1 102 72 107
1.25,0.05,3,1.102323,1.2127,0.0523,430922.5,1,1,11 94 107 61 8 19 25 33 6 97 3 14 99 91 85 35 7 17 1 4 31 26 90 32 30 65 51 24 63 49 106 86 75 23 52 27 44 10 67 105 74 69 93 13 55 71 84 45 79 92 104 70 76 58 57 42 72 80 54 36 40 62 37 16 47 95
1.25,0.55,0,1.145582,1.2602,0.55,417364.9,1,1,44 107 92 38 49 2 54 99 56 104 59 50 91 63 61 15 1 51 103 62 98 101 79 9 83 7 37 71 28 46 43 80 3 93 41 10 87 74 57 53 0 8 81 35 65 39 25 78 30 45 72 22 19 100 82 105 90 24 73 21 13 27 47 29 52 68
1.25,0.55,1,1.107092,1.2179,0.3995,389314.1,1,0,13 11 94 23 96 84 63 53 65 72 33 48 91 59 95 34 60 26 8 20 4 21 22 16 105 47 18 2 82 56 71 31 41 58 27 81 44 37 51 80 0 7 102 106 77 54 30 55 99 15 50 87 5 89 70 90 68 17 93 67 62 52 79 103 40 57
1.25,0.55,2,1.102493,1.2128,0.557,395615.7,1,1,91 16 13 62 30 31 37 104 68 72 17 78 35 2 1 88 39 71 21 22 57 59 100 95 79 25 8 67 55 98 85 84 97 48 60 18 105 56 90 14 3 69 51 26 20 73 24 6 70 107 43 54 66 86 53 46 80 36 32 45 28 65 11 74 76 10
1.25,0.55,3,1.138763,1.2527,0.5234,429662.9,1,1,56 63 33 45 27 102 16 41 46 55 14 80 1 103 11 107 7 43 71 5 35 39 10 100 21 15 12 66 9 34 6 51 19 28 8 13 36 85 60 90 96 97 61 72 49 84 48 73 32 94 54 74 79 76 58 105 98 64 86 3 23 57 50 26 29 59
