tag,u,v,dir,PL,n_win,turnover_max,turnover_mean,cv_link
bfv_0.53_0.00,41,77,5,0.5087,4,5.000,1.667,2.000
bfv_0.56_1.00,0,6,2,0.5370,4,3.163,1.448,1.186
bfv_0.63_0.00,68,62,0,0.6058,4,4.506,1.592,1.782
bfv_0.64_1.00,46,47,1,0.6167,4,4.207,1.592,1.636
bfv_0.73_0.03,68,62,0,0.7015,4,4.743,1.610,1.915
bfv_0.74_0.89,4,10,2,0.7043,4,3.889,1.624,1.476
bfv_0.91_0.50,16,15,3,0.8699,4,3.598,1.321,1.485
bfv_0.97_1.00,8,7,3,0.9281,4,3.798,1.400,1.609
