cell,bl_head,bl_body,dp_head,dp_body
bfr824_0.49_1.00_k0300,273,1715,423,3433
bfr824_0.49_1.00_k0550,559,3057,1298,6222
bfr824_0.49_1.00_k0750,755,4141,1251,8631
bfr824_0.49_1.00_k0950,834,5470,1645,10131
bfr824_0.49_1.00_k1150,1024,6319,1980,11252
bfr824_0.49_1.00_k1400,1291,8197,2023,12717
bfr824_0.49_1.00_k1700,2674,9646,2461,13407
bfr824_0.50_-0.00_k0300,368,2199,480,2528
bfr824_0.50_-0.00_k0550,1037,4243,736,3904
bfr824_0.50_-0.00_k0750,976,5344,1043,6733
bfr824_0.50_-0.00_k0950,1000,7129,1352,9837
bfr824_0.50_-0.00_k1150,2277,10610,1663,9263
bfr824_0.50_-0.00_k1400,1836,13107,1713,12071
bfr824_0.50_-0.00_k1700,4635,17191,2680,20065
bfr824_0.59_-0.00_k0300,806,2603,368,2840
bfr824_0.59_-0.00_k0550,887,5753,890,4937
bfr824_0.59_-0.00_k0750,1113,6588,1258,6169
bfr824_0.59_-0.00_k0950,1344,8583,1784,8474
bfr824_0.59_-0.00_k1150,1821,11032,1778,10414
bfr824_0.59_-0.00_k1400,2158,15015,2028,12990
bfr824_0.59_-0.00_k1700,2957,17187,3081,14254
bfr824_0.70_1.00_k0300,420,2076,957,5011
bfr824_0.70_1.00_k0550,762,4342,1271,8393
bfr824_0.70_1.00_k0750,856,5784,1998,10162
bfr824_0.70_1.00_k0950,1232,7574,2260,15133
bfr824_0.70_1.00_k1150,1389,10034,1909,15414
bfr824_0.70_1.00_k1400,1460,13623,2532,16332
bfr824_0.70_1.00_k1700,2432,13348,2960,20479
bfr824_0.73_-0.00_k0300,509,2851,499,3069
bfr824_0.73_-0.00_k0550,1040,4360,1079,4312
bfr824_0.73_-0.00_k0750,1305,7238,1443,7038
bfr824_0.73_-0.00_k0950,1454,8810,1512,9421
bfr824_0.73_-0.00_k1150,1932,9283,1989,10123
bfr824_0.73_-0.00_k1400,2049,11203,2525,13693
bfr824_0.73_-0.00_k1700,4434,17259,3086,17318
bfr824_0.82_0.94_k0300,432,2784,909,5894
bfr824_0.82_0.94_k0550,1038,6483,1405,9523
bfr824_0.82_0.94_k0750,1128,7428,2067,11533
bfr824_0.82_0.94_k0950,1474,10286,1953,13186
bfr824_0.82_0.94_k1150,1779,12068,2568,14766
bfr824_0.82_0.94_k1400,2385,14847,2763,17073
bfr824_0.82_0.94_k1700,2601,20254,3248,18592
bfr824_0.89_0.70_k0300,496,4208,859,5264
bfr824_0.89_0.70_k0550,1168,6448,1255,9122
bfr824_0.89_0.70_k0750,1582,8185,1981,10637
bfr824_0.89_0.70_k0950,1546,10839,2649,12663
bfr824_0.89_0.70_k1150,1959,13328,2774,14608
bfr824_0.89_0.70_k1400,2561,15554,4326,18686
bfr824_0.89_0.70_k1700,3710,18871,9915,22662
bfr824_0.92_0.02_k0300,767,3969,704,3616
bfr824_0.92_0.02_k0550,1250,7617,1199,7313
bfr824_0.92_0.02_k0750,1977,11476,1692,9570
bfr824_0.92_0.02_k0950,2000,12891,2657,12365
bfr824_0.92_0.02_k1150,2936,16425,2903,15782
bfr824_0.92_0.02_k1400,4950,19332,3104,18422
bfr824_0.92_0.02_k1700,4384,31666,4558,21438
