tag,u,v,dir,PL,n_win,turnover_max,turnover_mean,cv_link
bf_0.47_0.00,60,96,5,0.2257,4,1.661,1.098,0.809
bf_0.56_1.00,45,46,1,0.2693,4,5.634,1.968,1.924
bf_0.59_0.00,71,107,5,0.2821,4,1.662,1.101,0.811
bf_0.63_1.00,46,47,1,0.3032,4,1.641,1.090,0.800
bf_0.76_0.00,46,82,5,0.3668,4,1.667,1.111,0.817
bf_0.78_0.84,45,46,1,0.3754,4,1.561,1.007,0.743
bf_0.86_0.00,55,91,5,0.4127,4,7.500,2.500,2.550
bf_0.90_0.80,70,71,1,0.4313,4,1.665,1.107,0.814
