tag,u,v,dir,PL,n_win,turnover_max,turnover_mean,cv_link
bfr824_0.50_-0.00,37,1,4,0.1975,4,1.780,0.847,0.605
bfr824_0.49_1.00,32,26,0,0.1900,4,1.472,0.761,0.503
bfr824_0.59_-0.00,71,65,0,0.2296,4,1.812,0.857,0.616
bfr824_0.70_1.00,32,26,0,0.2738,4,1.544,0.787,0.534
bfr824_0.73_-0.00,70,34,4,0.2858,4,2.516,1.061,0.856
bfr824_0.82_0.94,32,26,0,0.3203,4,1.280,0.709,0.442
bfr824_0.92_0.02,71,65,0,0.3614,4,1.873,0.876,0.638
bfr824_0.89_0.70,83,82,3,0.3492,4,1.554,0.782,0.528
