cell,w0_len,w1_len,w2_len,w3_len,bl_mean,dp_mean,cell_oracle,phase_oracle,winners
bfr824_0.49_1.00_k0300,5138,23121,10276,1,12.86,12.37,12.37,12.38,DDD
bfr824_0.49_1.00_k0550,5138,23121,10276,1,14.13,13.94,13.94,13.81,DDB
bfr824_0.49_1.00_k0750,5138,23121,10276,1,16.42,15.66,15.66,15.58,DDD
bfr824_0.49_1.00_k0950,5138,23121,10276,1,19.83,17.01,17.01,16.86,DBB
bfr824_0.49_1.00_k1150,5138,23121,10276,1,23.42,20.60,20.60,20.78,DDD
bfr824_0.49_1.00_k1400,5138,23121,10276,1,41.18,33.58,33.58,33.50,DDD
bfr824_0.49_1.00_k1700,5138,23121,10276,1,94.84,94.24,94.24,93.24,BDB
bfr824_0.50_-0.00_k0300,5138,23121,10276,1,13.21,13.19,13.19,13.16,BDB
bfr824_0.50_-0.00_k0550,5138,23121,10276,1,14.93,14.74,14.74,14.66,DDB
bfr824_0.50_-0.00_k0750,5138,23121,10276,1,16.30,16.15,16.15,15.94,BDD
bfr824_0.50_-0.00_k0950,5138,23121,10276,1,19.32,18.57,18.57,18.56,DDD
bfr824_0.50_-0.00_k1150,5138,23121,10276,1,25.97,28.14,25.97,25.82,BDD
bfr824_0.50_-0.00_k1400,5138,23121,10276,1,45.70,38.89,38.89,39.51,DDD
bfr824_0.50_-0.00_k1700,5138,23121,10276,1,105.39,118.97,105.39,105.55,BBB
bfr824_0.59_-0.00_k0300,5138,23121,10276,1,13.72,13.17,13.17,13.10,BDB
bfr824_0.59_-0.00_k0550,5138,23121,10276,1,14.98,15.08,14.98,14.89,BDB
bfr824_0.59_-0.00_k0750,5138,23121,10276,1,17.08,16.57,16.57,16.43,DBB
bfr824_0.59_-0.00_k0950,5138,23121,10276,1,20.34,19.83,19.83,19.62,DDB
bfr824_0.59_-0.00_k1150,5138,23121,10276,1,25.87,22.36,22.36,22.24,DDB
bfr824_0.59_-0.00_k1400,5138,23121,10276,1,41.43,41.44,41.43,40.76,BDD
bfr824_0.59_-0.00_k1700,5138,23121,10276,1,101.38,84.54,84.54,84.63,DDB
bfr824_0.70_1.00_k0300,5138,23121,10276,1,13.52,13.50,13.50,13.33,BDB
bfr824_0.70_1.00_k0550,5138,23121,10276,1,15.07,14.98,14.98,14.92,BDB
bfr824_0.70_1.00_k0750,5138,23121,10276,1,16.52,16.77,16.52,16.35,BDB
bfr824_0.70_1.00_k0950,5138,23121,10276,1,21.58,18.60,18.60,18.50,DDB
bfr824_0.70_1.00_k1150,5138,23121,10276,1,24.63,22.91,22.91,22.85,DDD
bfr824_0.70_1.00_k1400,5138,23121,10276,1,53.55,50.22,50.22,49.63,DBB
bfr824_0.70_1.00_k1700,5138,23121,10276,1,107.40,109.82,107.40,107.30,BBB
bfr824_0.73_-0.00_k0300,5138,23121,10276,1,13.33,13.33,13.33,13.18,BDD
bfr824_0.73_-0.00_k0550,5138,23121,10276,1,14.78,14.85,14.78,14.75,BBB
bfr824_0.73_-0.00_k0750,5138,23121,10276,1,16.28,16.22,16.22,16.08,BDB
bfr824_0.73_-0.00_k0950,5138,23121,10276,1,20.48,19.52,19.52,19.49,DDB
bfr824_0.73_-0.00_k1150,5138,23121,10276,1,26.21,24.29,24.29,24.09,DDD
bfr824_0.73_-0.00_k1400,5138,23121,10276,1,46.59,58.09,46.59,46.47,BBD
bfr824_0.73_-0.00_k1700,5138,23121,10276,1,106.82,85.86,85.86,86.62,DDB
bfr824_0.82_0.94_k0300,5138,23121,10276,1,14.21,13.85,13.85,13.86,DDD
bfr824_0.82_0.94_k0550,5138,23121,10276,1,15.90,15.84,15.84,15.63,DBB
bfr824_0.82_0.94_k0750,5138,23121,10276,1,17.04,16.83,16.83,16.66,BDD
bfr824_0.82_0.94_k0950,5138,23121,10276,1,19.72,19.68,19.68,19.30,BDB
bfr824_0.82_0.94_k1150,5138,23121,10276,1,29.10,25.93,25.93,26.06,DDD
bfr824_0.82_0.94_k1400,5138,23121,10276,1,37.40,56.05,37.40,37.61,BBD
bfr824_0.82_0.94_k1700,5138,23121,10276,1,95.73,104.19,95.73,96.68,BBD
bfr824_0.89_0.70_k0300,5138,23121,10276,1,14.10,14.34,14.10,14.02,BBD
bfr824_0.89_0.70_k0550,5138,23121,10276,1,15.62,16.28,15.62,15.39,BDD
bfr824_0.89_0.70_k0750,5138,23121,10276,1,17.11,16.84,16.84,16.85,DDD
bfr824_0.89_0.70_k0950,5138,23121,10276,1,21.20,19.92,19.92,19.96,DDB
bfr824_0.89_0.70_k1150,5138,23121,10276,1,32.08,23.45,23.45,23.51,DDB
bfr824_0.89_0.70_k1400,5138,23121,10276,1,48.70,49.31,48.70,48.59,BBD
bfr824_0.89_0.70_k1700,5138,23121,10276,1,97.18,115.92,97.18,97.82,BBB
bfr824_0.92_0.02_k0300,5138,23121,10276,1,13.49,13.34,13.34,13.29,DBB
bfr824_0.92_0.02_k0550,5138,23121,10276,1,15.09,15.24,15.09,14.97,BDD
bfr824_0.92_0.02_k0750,5138,23121,10276,1,16.92,17.23,16.92,16.49,BDD
bfr824_0.92_0.02_k0950,5138,23121,10276,1,19.15,19.59,19.15,19.10,BDB
bfr824_0.92_0.02_k1150,5138,23121,10276,1,23.33,24.61,23.33,23.32,BDD
bfr824_0.92_0.02_k1400,5138,23121,10276,1,49.21,45.12,45.12,44.85,DDB
bfr824_0.92_0.02_k1700,5138,23121,10276,1,104.27,109.99,104.27,104.48,BBD
