base0,43750,0.1481,57 93 58 94 20 85 14 48 62 86 18 49 21 97 26 90 56 91 25 84 19 79 98 92 50 44 80 55 15 13 99 59 51 45 87 61 16 27 63 53 52 46 88 60 22 28
base1,44601,0.1270,58 95 52 89 63 48 69 12 57 54 27 60 64 49 99 84 100 90 62 42 65 85 98 51 44 93 55 20 14 61 92 45 81 94 56 21 22 59 86 46 87 88 50 15 16 53
base2,44760,0.1481,20 26 21 27 43 81 48 74 7 93 44 88 49 45 42 80 55 87 37 75 79 82 39 50 8 86 85 51 38 46 3 56 9 62 19 57 14 16 4 92 15 63 18 58 13 22
base3,45354,0.1417,50 92 86 98 58 40 59 46 52 38 22 4 63 45 64 76 94 75 21 39 95 41 88 47 9 16 56 82 10 53 49 83 8 15 55 81 14 57 85 89 44 51 91 87 13 93
base4,46514,0.2074,14 13 15 7 62 56 98 92 26 86 63 57 68 50 61 55 25 19 60 91 67 49 32 64 93 99 44 54 27 69 20 58 45 28 8 12 16 51 21 59 9 22 2 6 52 87
base5,47892,0.1344,57 56 93 92 26 95 27 53 21 94 33 23 62 59 32 100 20 88 61 89 25 101 106 19 22 98 69 50 29 63 105 55 58 86 68 49 65 51 99 91 52 85 104 43 64 87
base6,47967,0.1484,46 15 52 51 20 58 56 100 8 53 55 94 14 88 13 22 21 57 26 28 19 59 9 93 49 23 92 17 63 27 3 76 43 11 86 10 45 64 39 40 42 47 50 16 44 70
base7,48864,0.1632,62 67 55 66 38 57 74 51 44 27 39 22 80 63 2 52 37 69 73 93 1 21 49 43 46 45 20 50 86 87 97 61 64 65 32 14 92 99 91 25 58 59 31 13 56 98
int0,45095,0.1270,51 50 15 14 62 55 69 18 99 13 26 91 20 85 25 67 98 48 60 54 68 19 63 49 61 56 92 93 86 97 64 44 57 46 52 58 45 43 28 8 21 10 16 22 9 7
int1,45182,0.1270,50 43 86 79 46 63 47 99 53 98 10 27 39 93 9 69 81 21 40 68 82 26 57 45 62 64 22 16 59 15 56 44 49 61 55 52 58 51 92 80 85 97 91 88 94 87
int2,45721,0.1301,56 50 20 14 58 46 65 82 21 81 23 40 59 39 22 10 93 9 94 11 53 47 57 43 45 64 88 89 100 87 61 44 51 63 55 52 62 49 25 8 15 27 19 16 26 13
int3,46699,0.1270,50 43 86 79 61 52 25 88 26 87 60 22 19 15 97 53 67 10 96 40 24 16 64 62 51 63 20 59 54 21 58 49 44 45 56 46 55 57 94 85 80 81 92 82 91 93
int4,47316,0.1312,51 44 87 80 56 64 93 100 14 69 21 28 92 27 19 70 20 94 54 65 91 99 61 63 55 57 53 59 68 22 62 58 43 50 52 46 49 45 98 88 79 86 16 82 85 81
int5,47407,0.1312,57 61 21 25 49 56 37 92 86 93 48 14 13 20 42 68 85 26 12 98 79 19 43 44 55 50 91 54 38 80 62 51 64 52 63 58 46 45 27 15 28 16 99 22 10 9
int6,47645,0.1270,57 43 21 7 62 50 32 14 99 15 98 86 92 13 20 38 97 85 68 80 26 48 56 51 44 49 69 70 93 87 61 45 46 55 63 64 58 52 25 9 10 19 27 28 22 16
int7,48118,0.1270,52 64 88 100 61 56 19 14 54 15 67 92 60 93 97 26 98 21 25 68 96 20 49 62 55 57 48 91 85 27 51 63 44 46 45 43 50 58 87 99 80 82 81 79 86 94
int8,46365,0.1270,51 46 87 82 57 49 20 48 21 13 93 19 15 85 59 79 22 37 69 42 27 7 55 62 43 61 91 54 14 9 50 64 44 56 58 63 52 45 86 100 80 92 94 99 88 81
int9,46236,0.1270,56 63 92 99 46 57 40 15 88 20 47 93 9 21 11 59 16 27 82 69 10 87 51 43 52 44 53 39 22 28 62 49 50 55 64 45 58 61 98 85 86 91 100 81 94 97
chx0,47289,0.1270,51 50 15 14 62 55 69 18 99 13 26 91 20 85 25 67 98 48 60 97 68 90 56 63 61 43 92 93 86 54 64 44 57 46 52 58 45 49 28 8 21 10 16 22 9 7
chx1,46987,0.1270,50 43 86 79 45 63 47 99 15 98 10 27 8 93 9 69 38 26 39 68 81 70 61 46 57 64 20 59 21 14 56 44 49 62 55 52 58 51 92 80 85 97 91 88 94 87
chx2,48003,0.1270,56 50 20 14 58 46 65 82 21 81 23 40 93 39 16 10 53 9 95 11 59 47 63 52 43 45 88 94 100 87 61 44 51 57 55 64 62 49 25 8 15 27 19 22 26 13
chx3,48959,0.1312,50 43 86 79 61 52 25 59 26 87 60 53 19 15 97 47 91 10 67 40 54 16 63 51 55 64 21 22 27 69 58 49 44 45 56 46 62 57 94 85 80 81 92 82 20 93
chx4,49385,0.1630,51 44 87 9 56 64 92 100 14 69 93 101 26 27 19 70 20 94 54 65 91 99 61 57 55 62 21 59 68 22 63 52 43 50 58 46 49 45 98 88 79 86 16 82 85 81
chx5,49564,0.1270,57 61 21 26 49 56 37 92 86 87 42 14 19 91 13 20 85 68 12 98 79 54 43 44 55 50 25 93 38 80 62 51 64 52 63 58 46 45 27 15 28 16 33 22 10 9
chx6,49817,0.1270,57 43 21 7 62 50 98 14 99 15 69 86 20 13 60 38 97 85 67 80 26 48 56 58 44 49 92 68 87 93 61 45 46 55 63 64 52 51 25 9 10 19 27 28 22 16
chx7,50439,0.1270,52 64 88 100 61 56 25 14 54 15 19 92 24 93 97 26 98 21 96 68 60 20 49 62 43 57 48 91 13 27 51 63 45 46 44 55 50 58 87 99 80 82 81 85 86 94
