int0,196859,0.3347,57 58 21 22 93 94 45 52 9 16 81 88 51 46 15 10 87 82 62 50 68 14 98 86 63 55 44 43 49 56 99 54 38 37 85 20 27 19 8 42 48 92 61 64 24 71 25 34 97 70 66 69 96 29 103 106 67 100 91 59 31 65 60 28 26 101
int1,204582,0.3324,44 45 80 81 8 9 56 43 92 79 20 7 55 64 91 100 19 28 49 62 48 98 85 68 52 51 58 61 50 57 53 87 22 60 86 21 88 15 94 25 14 93 63 46 70 76 33 82 59 4 101 11 65 83 105 40 97 41 27 39 26 47 69 10 99 16
int2,209783,0.4197,45 52 81 88 39 53 61 43 97 79 60 37 62 51 98 87 68 9 63 50 99 86 27 14 58 57 56 64 49 44 22 21 20 28 13 38 59 15 92 100 85 8 46 55 82 90 41 93 11 67 10 18 83 19 40 26 16 25 47 54 4 48 80 91 76 42
int3,211990,0.3392,50 62 14 26 80 98 45 46 9 10 81 82 43 52 7 16 79 88 51 44 15 38 87 8 58 49 56 57 64 63 22 13 92 93 65 99 94 37 86 21 70 27 61 55 25 54 67 84 96 85 31 12 24 18 69 90 32 19 66 48 103 68 97 20 60 91
int4,214985,0.4884,56 61 92 97 20 25 64 50 100 86 28 14 63 46 99 82 27 10 49 58 13 65 48 59 62 57 55 51 44 43 68 21 54 87 80 79 98 93 19 15 38 7 45 52 74 70 11 89 47 17 42 22 39 94 81 16 75 53 8 83 2 76 3 88 9 40
int5,220816,0.3392,51 55 87 91 15 19 44 62 80 98 8 26 43 49 79 85 7 13 46 56 82 20 40 48 64 61 58 50 45 52 70 97 94 86 39 53 100 60 59 14 9 88 57 63 28 101 68 67 54 25 95 105 23 65 93 27 92 32 21 69 81 99 16 106 22 33
int6,222392,0.4975,57 55 21 19 93 91 64 43 28 7 100 79 61 58 25 22 97 94 51 63 69 99 15 27 49 46 62 56 45 52 13 82 26 20 39 53 85 10 98 92 81 59 44 50 6 42 40 2 38 86 37 68 80 14 36 54 74 48 75 87 3 8 9 16 47 88
int7,223812,0.4577,63 51 60 85 27 15 49 43 48 42 13 7 61 45 67 81 25 9 56 58 68 59 92 22 46 55 44 62 52 50 40 54 80 98 16 86 10 19 8 26 88 14 57 64 95 106 91 34 93 94 39 101 87 65 99 70 105 29 21 28 53 71 33 69 20 100
int8,226333,0.4884,46 52 53 16 82 88 64 61 65 60 100 97 44 57 80 59 74 93 58 51 22 15 94 87 62 55 49 43 56 63 98 54 13 79 92 69 26 91 85 7 21 27 45 50 8 14 4 12 9 19 39 48 3 84 10 37 40 42 2 20 75 86 47 38 81 68
int9,220659,0.4156,61 63 25 27 97 99 56 43 20 7 98 79 52 62 16 26 88 68 64 57 65 94 100 69 58 46 45 55 49 50 59 82 81 54 13 14 22 47 39 91 48 92 44 51 8 17 3 40 80 10 38 75 74 9 73 21 85 93 37 53 42 87 2 15 86 89
int10,217034,0.4975,50 63 14 27 87 99 55 43 19 7 85 79 46 64 10 28 82 100 57 51 93 15 21 16 44 61 52 58 49 62 8 25 88 94 48 26 80 67 53 59 13 69 45 56 74 20 38 91 42 97 83 86 40 92 81 54 47 22 39 90 75 18 3 98 9 68
chx0,205686,0.4884,57 58 21 23 93 22 45 46 9 16 81 88 51 52 15 10 87 82 62 50 68 14 98 86 63 55 44 43 49 56 99 54 38 37 85 20 27 19 8 42 48 92 61 64 24 65 25 100 67 94 26 69 96 70 97 106 66 34 91 59 31 71 60 28 103 101
chx1,214355,0.3433,44 45 80 81 8 39 56 43 92 78 20 6 55 64 91 106 19 22 49 62 85 97 54 68 52 51 58 61 50 57 53 87 59 24 86 21 88 15 94 60 14 93 63 46 70 83 99 82 105 4 28 11 65 76 27 40 26 41 98 9 100 47 69 10 33 16
chx2,219556,0.4884,45 52 81 53 8 17 61 43 96 79 26 37 62 51 98 88 68 15 63 50 99 86 27 14 58 57 56 64 49 44 22 21 54 28 13 38 93 87 92 100 85 80 46 55 82 19 10 97 39 67 41 48 83 91 40 60 4 25 16 18 9 90 47 20 76 42
chx3,221447,0.3392,50 62 14 27 80 98 45 46 9 10 39 82 43 52 7 16 37 88 51 44 15 38 87 8 58 49 56 57 64 63 22 42 86 93 65 99 53 79 92 21 70 68 61 55 96 19 67 54 30 12 31 18 24 13 60 90 69 85 66 48 103 91 97 20 26 25
chx4,225073,0.3844,56 61 92 97 20 25 64 50 100 14 28 86 62 46 99 83 68 11 49 57 13 27 48 59 63 58 55 51 44 43 98 70 54 87 42 79 69 95 19 15 2 7 45 52 21 93 47 89 10 17 80 22 39 53 81 16 75 94 3 82 9 76 8 88 38 40
chx5,231850,0.4002,51 55 81 91 14 19 44 62 8 104 80 32 43 49 79 85 7 13 46 50 82 48 40 38 64 61 58 56 45 52 101 97 88 86 39 89 106 60 16 54 47 53 57 63 27 33 21 26 20 98 92 28 95 65 93 68 59 105 15 69 87 99 94 70 22 100
chx6,233110,0.4884,57 55 21 19 93 91 64 43 69 6 100 73 61 58 25 94 97 95 51 63 53 99 16 27 49 46 62 56 45 52 13 82 26 54 39 59 86 10 98 68 81 22 44 50 7 84 9 38 2 88 37 92 80 20 79 14 74 48 75 87 3 8 42 15 47 85
chx7,234215,0.3473,63 51 98 86 27 9 49 43 85 79 13 1 61 45 96 81 25 3 56 58 68 95 91 53 46 55 44 62 52 50 40 90 80 60 16 48 10 54 8 26 88 14 57 64 22 106 93 34 20 94 15 101 92 65 69 70 105 29 59 28 21 100 19 99 87 71
