arm,start,ES,E50,E40,n50,n40,PL_PF,CCx,perm
maxE40,int5,0.1194,0.1968,0.1647,19,48,0.5579,1.0,44 45 55 61 38 39 54 97 8 9 19 25 56 52 57 43 62 51 58 49 92 16 22 7 20 53 21 79 98 88 93 42 63 64 46 50 99 65 82 14 69 100 40 87 27 28 47 15 68 70 10 86
minCC,int5,0.0822,0.1454,0.1289,17,45,0.5579,1.0,44 45 55 61 38 39 54 97 8 9 19 25 56 52 57 43 62 51 58 49 20 88 21 42 92 16 93 79 68 53 59 37 63 64 46 50 27 65 10 14 99 100 47 87 69 28 40 15 98 70 82 86
maxES,int6,0.1842,0.2506,0.1458,23,49,0.4682,1.0,44 63 45 43 80 99 81 79 8 27 9 7 50 55 61 51 56 57 62 15 52 91 97 21 86 54 60 39 14 19 67 87 64 58 46 49 28 22 47 85 65 93 40 13 70 59 82 48 100 94 10 84
maxE50,int6,0.2434,0.2928,0.1986,24,47,0.4682,1.0,44 63 45 43 80 99 81 79 8 27 9 7 50 55 61 51 15 56 62 57 87 91 97 21 86 54 60 39 14 19 67 52 64 58 46 49 28 22 47 85 65 93 40 48 70 59 82 84 100 94 10 13
maxE40,int6,0.1371,0.2743,0.2014,20,49,0.4682,0.9987,44 63 45 43 80 99 81 79 8 27 9 7 50 55 61 51 93 91 67 21 15 56 62 87 86 54 97 52 14 19 60 39 64 58 46 49 28 22 47 85 65 57 40 84 70 59 82 48 100 94 10 13
minCC,int6,0.135,0.257,0.1593,23,48,0.4682,1.0,44 63 45 43 80 99 81 79 8 27 9 7 50 55 61 51 56 57 62 52 15 54 97 93 86 91 60 39 14 19 67 87 64 58 46 49 28 22 47 85 65 21 40 13 70 59 82 48 100 94 10 84
maxES,int7,0.2184,0.2271,0.204,27,46,0.4674,1.0,50 46 58 43 14 10 22 7 86 82 94 79 49 61 62 51 55 98 63 52 85 97 68 88 13 60 64 15 48 67 25 87 57 56 45 44 99 19 81 42 27 26 80 37 21 20 39 38 93 92 9 8
maxE50,int7,0.2184,0.2271,0.204,27,46,0.4674,1.0,50 46 58 43 14 10 22 7 86 82 94 79 49 61 62 51 55 98 63 52 85 97 68 88 13 60 64 15 48 67 25 87 57 56 45 44 99 19 81 42 27 26 80 37 21 20 39 38 93 92 9 8
maxE40,int7,0.1907,0.2648,0.2516,28,47,0.4674,0.9991,50 46 58 43 14 10 22 7 86 82 94 79 49 61 62 51 55 97 63 52 13 60 98 15 48 67 68 88 85 25 104 87 57 56 45 44 99 19 81 38 27 26 75 42 21 20 39 37 93 92 9 80
minCC,int7,0.1241,0.1967,0.1721,27,46,0.4674,1.0,50 46 58 43 14 10 22 7 86 82 94 79 49 61 62 51 55 64 63 52 13 97 68 88 85 60 98 15 48 67 25 87 57 56 45 44 99 19 81 37 27 26 8 42 21 20 39 38 93 92 9 80
