arm,start,E,ES,E50,E40,PL_PF,CCx,perm
b2,int0,1.0,0.059,0.4015,0.4888,0.5604,1.5204,57 0 21 22 93 102 45 64 9 16 81 88 51 46 15 10 87 82 62 50 68 14 98 86 63 55 44 43 49 56 99 54 38 37 85 92 27 19 8 42 48 52 61 20 24 71 25 34 97 70 66 69 96 29 103 106 67 100 91 59 31 65 60 28 26 101
b2,int1,1.0,0.2268,0.1389,0.2297,0.5846,1.5223,44 45 80 81 8 9 56 43 92 79 20 46 55 64 91 100 19 28 49 62 48 98 85 52 68 51 58 61 50 57 95 87 22 60 86 21 88 15 94 25 14 93 63 7 70 76 33 82 59 4 101 6 65 83 105 40 97 41 27 39 26 53 69 89 99 16
b2,int2,1.0,0.1324,0.3827,0.4204,0.6061,1.544,53 106 9 87 39 70 67 43 105 79 66 37 104 51 93 3 68 4 63 92 99 86 27 14 58 57 56 64 49 44 22 21 20 28 13 38 59 15 50 102 85 8 46 45 82 90 41 62 11 61 10 18 83 19 40 26 16 25 47 52 81 48 80 54 76 88
b2,int3,1.0,0.1478,0.3502,0.4063,0.5068,1.5182,50 62 39 26 97 98 45 46 9 10 81 82 43 52 7 16 79 88 51 44 15 61 87 8 58 49 56 57 64 63 22 13 92 93 65 99 94 37 86 21 70 27 38 55 25 54 67 84 96 85 31 12 24 18 69 90 32 19 66 48 103 68 80 20 60 91
b2,int4,1.0,0.081,0.2029,0.231,0.711,1.5198,56 61 92 97 20 25 64 50 100 86 28 14 58 46 99 82 27 10 49 63 13 65 48 59 62 57 55 51 44 43 68 21 52 87 80 79 98 93 19 15 38 7 45 54 74 70 11 89 47 17 42 22 39 94 81 16 75 53 8 83 2 76 3 88 9 40
b2,int5,1.0,0.1637,0.2635,0.2779,0.6727,1.5125,51 55 87 91 15 19 44 62 80 98 8 26 43 49 79 85 7 63 46 56 82 20 40 48 64 35 58 50 45 52 70 97 94 86 39 53 100 60 59 14 9 88 54 57 28 101 68 67 13 25 95 105 23 65 93 27 92 32 21 69 81 99 16 106 22 33
b2,int6,1.0,0.0047,0.2391,0.2506,0.6487,1.5131,57 55 21 19 93 91 64 43 45 7 100 79 61 58 25 22 97 94 51 63 69 99 15 27 49 46 62 56 28 52 13 82 26 20 39 53 85 10 98 92 81 59 68 50 8 42 40 2 105 86 37 44 80 14 36 54 74 48 75 87 3 6 9 16 47 88
b2,int7,1.0,-0.0313,0.4275,0.4525,0.623,1.5359,63 51 60 85 27 58 64 43 48 42 13 7 61 45 67 81 25 9 56 15 68 59 92 22 46 55 44 62 52 50 40 54 80 98 16 86 10 19 8 26 88 14 57 49 95 106 91 34 93 87 39 101 94 65 99 70 105 29 21 28 53 71 33 69 20 100
