arm,start,E,ES,E50,E40,PL_PF,CCx,perm
bN,int0,0.0,0.1214,0.1963,0.2587,0.6906,1.534,62 56 25 59 26 20 21 22 98 72 67 94 99 63 51 43 49 64 50 44 53 69 15 37 74 27 93 7 54 68 87 91 46 55 52 45 40 97 58 39 82 60 16 9 10 19 61 81 47 57 88 92
bN,int1,0.0,0.1632,0.3368,0.3961,0.6924,1.5138,22 44 64 62 92 80 100 98 65 8 28 26 63 43 55 49 57 46 61 50 69 59 54 48 27 20 91 85 99 56 19 13 45 51 52 58 9 15 16 79 39 93 94 7 38 87 88 37 81 14 53 42
bN,int2,0.0,0.227,0.3472,0.4139,0.6906,1.4815,61 55 45 99 25 19 9 8 97 91 81 80 46 50 58 43 62 51 57 49 82 86 10 7 69 38 22 37 27 14 59 42 64 52 56 63 28 87 68 98 70 88 20 40 100 53 93 44 65 16 92 47
bN,int3,0.0,0.0244,0.2658,0.3472,0.6906,1.5285,55 52 51 61 19 16 15 25 91 88 87 97 44 63 57 81 50 62 49 56 8 99 93 85 38 69 21 48 42 27 92 13 64 59 46 45 65 7 10 39 28 37 47 58 100 6 40 9 70 79 82 80
bN,int4,0.0,0.0632,0.2609,0.2865,0.6906,1.5322,87 61 82 64 15 25 79 51 98 97 88 68 28 92 56 43 63 86 55 50 16 100 20 9 21 22 57 39 62 93 26 81 44 45 49 46 80 52 48 58 14 10 54 37 38 40 85 7 8 47 13 42
bN,int5,0.0,0.1664,0.3627,0.4614,0.6906,1.5535,44 45 49 61 38 39 54 97 8 9 19 53 56 30 57 43 62 51 58 55 20 88 21 42 92 16 93 79 68 4 59 37 63 64 46 86 27 65 10 14 99 100 47 87 69 28 40 15 98 70 82 50
bN,int6,0.0,0.1338,0.2695,0.3212,0.6906,1.54,44 63 45 43 80 99 81 79 8 27 9 7 50 55 46 87 56 57 62 52 15 54 97 93 86 91 60 39 14 19 67 51 64 58 61 49 28 22 48 85 65 21 40 13 70 59 33 47 100 94 10 84
bN,int7,-0.0,0.1003,0.5036,0.544,0.6906,1.5468,21 46 58 43 14 61 22 7 86 82 94 79 49 75 50 51 55 19 63 52 13 85 68 88 97 60 98 15 48 67 25 87 57 56 45 44 99 64 81 37 27 26 8 42 62 20 39 38 93 92 9 80
