arm,start,E,E0,ES,E50,E40,PL_PF,CCx,perm
bE,int0,1.0,0.027,0.1601,0.1788,0.2203,0.3934,1.0881,57 58 21 22 93 94 45 52 9 16 81 88 51 46 15 10 87 82 62 54 68 14 98 86 63 55 44 43 49 56 99 50 38 37 85 20 27 19 8 42 48 92 61 64 24 71 25 34 97 70 66 69 96 29 103 106 67 100 91 59 31 65 60 28 26 101
bE,int1,1.0,0.0204,0.1264,0.2634,0.3731,0.5295,1.1957,44 57 65 81 8 9 56 43 92 79 20 7 55 64 91 100 19 28 49 62 48 98 85 68 52 51 58 61 50 45 53 87 22 60 86 21 88 15 94 25 14 93 63 46 70 76 33 82 59 4 101 11 80 83 105 40 97 41 27 39 26 47 69 10 99 16
bE,int2,1.0,0.2241,0.293,0.2285,0.3711,0.5887,1.4395,45 52 81 88 39 53 61 43 97 79 60 37 62 51 98 87 68 9 63 50 99 41 27 14 58 57 56 64 49 44 22 21 20 28 13 38 59 90 92 100 85 40 1 55 77 4 86 93 11 67 10 18 46 19 8 26 16 25 47 54 15 48 75 91 76 42
bE,int3,1.0,0.04,0.3342,0.4403,0.4701,0.3924,1.1234,50 62 14 26 80 98 45 46 9 10 81 82 23 52 7 16 79 88 51 44 15 38 87 8 58 49 56 57 64 63 22 13 92 93 65 99 94 37 86 21 70 27 61 55 25 54 67 84 96 85 31 12 24 18 69 90 32 19 66 48 103 68 97 20 60 91
bE,int4,1.0,0.3333,0.2546,0.4074,0.4782,0.5684,1.4362,56 61 92 97 20 16 15 50 104 86 35 26 63 4 99 10 44 74 49 58 13 65 48 59 62 57 55 51 75 43 68 21 54 87 47 79 98 100 19 14 73 7 46 52 82 70 11 8 80 17 42 22 39 25 81 88 27 53 2 83 64 76 3 45 9 40
bE,int5,1.0,0.04,0.2954,0.3052,0.3682,0.4196,1.0999,5 55 87 91 15 19 44 62 80 98 8 26 43 49 79 85 7 13 46 56 82 20 40 48 64 61 58 50 45 52 70 97 94 86 39 53 100 60 59 14 9 88 57 63 28 101 68 67 54 25 95 105 23 65 93 27 92 32 21 69 81 99 16 106 22 33
bE,int6,1.0,0.1818,0.2853,0.2401,0.3204,0.5871,1.2849,107 55 21 19 93 91 64 43 28 7 100 79 10 58 86 22 97 94 51 63 69 99 15 27 49 46 62 56 45 52 13 82 26 20 39 53 85 61 98 92 81 59 44 50 6 42 40 2 38 25 37 68 80 14 36 54 74 48 75 87 3 8 9 16 47 88
bE,int7,1.0,0.2885,0.1374,0.3139,0.4138,0.5769,1.1775,63 51 60 85 27 15 49 58 48 42 13 7 61 45 67 81 25 9 56 43 68 59 92 22 46 55 44 62 52 50 40 54 80 98 16 86 10 19 8 26 88 14 57 64 95 106 91 34 93 94 39 101 87 65 99 70 105 29 21 28 53 71 33 69 20 100
