arm,start,E,ES,E50,E40,PL_PF,CCx,perm
b2,int0,1.0,-0.0576,0.5527,0.6278,0.5438,1.5433,51 50 97 14 62 55 69 18 99 7 26 91 20 85 25 67 98 48 60 54 68 19 63 49 61 56 92 93 86 72 64 44 57 46 52 58 16 71 28 8 21 10 45 22 9 13
b2,int1,1.0,0.1023,0.6175,0.6175,0.5719,1.5572,50 43 86 79 26 63 47 99 53 98 10 27 5 93 105 69 81 21 40 68 16 46 57 45 62 64 22 82 59 15 56 44 49 61 55 52 58 51 92 80 85 97 91 88 94 87
b2,int2,1.0,0.1695,0.2837,0.3443,0.5579,1.5682,56 50 20 14 19 46 65 82 98 81 89 40 62 39 52 10 93 9 94 11 53 47 57 43 45 64 88 23 100 87 61 44 51 63 55 26 59 49 25 8 15 27 58 16 22 13
b2,int3,1.0,-0.0707,0.8563,0.8436,0.6527,1.5476,75 43 96 79 61 52 25 88 26 87 60 22 19 15 97 53 67 10 86 40 24 16 64 62 51 63 20 59 54 21 49 58 44 45 56 46 55 57 94 85 80 81 92 82 91 93
b2,int4,1.0,-0.0398,0.8962,0.8354,0.6574,1.5648,51 44 64 63 56 87 93 100 14 82 21 28 65 27 19 70 20 94 54 80 91 99 61 92 55 57 53 59 68 22 62 58 43 10 52 46 49 45 98 88 79 86 16 69 85 81
b2,int5,1.0,0.0861,0.707,0.6141,0.6997,1.5746,49 61 21 67 57 56 37 92 86 93 48 58 13 20 42 91 85 46 12 98 27 55 62 44 19 26 68 54 38 80 10 51 64 52 63 14 50 45 79 15 28 16 99 22 43 9
b2,int6,1.0,0.1023,0.6701,0.708,0.6301,1.5619,50 55 7 21 62 99 32 14 57 15 98 86 92 13 20 38 97 85 68 80 26 48 56 51 44 29 69 70 93 87 25 45 46 43 63 64 58 52 61 9 10 49 27 28 22 16
b2,int7,1.0,-0.0277,0.6641,0.6636,0.6028,1.5671,52 64 103 100 61 56 19 14 54 15 67 92 87 93 97 26 86 21 98 68 96 57 49 62 55 25 48 91 85 27 51 63 44 46 45 43 50 79 88 99 8 82 81 58 20 94
