arm,start,ES,E50,E40,n50,n40,PL_PF,CCx,perm
maxE40,int4,0.2335,0.1173,0.2485,22,33,0.3696,1.0,56 61 92 97 20 25 64 50 100 86 28 14 63 46 99 82 27 10 49 58 85 65 13 22 62 57 55 51 44 43 98 93 54 15 38 42 68 21 19 87 8 7 45 52 74 70 47 89 40 17 79 59 39 94 81 16 75 53 80 83 2 11 3 88 9 76
minCC,int4,0.1741,0.0359,0.103,15,18,0.5395,1.0,56 61 92 97 20 25 64 50 100 86 28 14 63 46 99 82 27 10 49 58 13 65 48 59 62 57 55 51 44 43 68 21 54 87 80 79 98 93 19 15 38 7 45 52 74 70 11 89 47 17 42 22 39 94 81 16 75 53 8 83 2 76 3 88 9 40
maxES,int5,0.3881,0.2788,0.3442,29,37,0.3746,0.9971,51 55 87 97 15 19 44 68 80 106 8 32 43 49 79 85 7 13 46 56 40 20 47 48 64 61 95 50 45 52 28 60 59 14 39 53 70 67 94 86 9 88 57 63 23 101 62 100 54 25 58 26 91 65 93 27 92 105 21 69 81 99 16 98 22 33
maxE50,int5,0.2355,0.227,0.23,31,36,0.3746,1.0,51 55 87 91 15 19 44 62 80 98 8 26 43 49 79 85 7 13 46 56 82 20 40 48 64 61 58 50 45 52 28 67 59 86 39 53 100 60 94 14 9 88 57 63 70 101 68 97 54 25 95 105 23 65 93 27 92 32 21 69 81 99 16 106 22 33
maxE40,int5,0.2534,0.219,0.2557,29,36,0.3746,1.0,51 55 87 91 15 19 44 62 80 98 8 26 43 49 79 85 7 13 46 56 47 92 82 48 64 61 58 50 45 52 65 67 59 86 39 53 70 60 94 14 9 88 57 63 100 101 68 97 54 25 95 105 23 28 93 27 20 32 21 69 81 99 16 106 22 33
minCC,int5,0.2226,0.2122,0.2205,32,37,0.3746,1.0,51 55 87 91 15 19 44 62 80 98 8 26 43 49 79 85 7 13 46 56 82 20 40 48 64 61 58 50 45 52 70 97 94 86 39 53 100 60 59 14 9 88 57 63 28 101 68 67 54 25 95 105 23 65 93 27 92 32 21 69 81 99 16 106 22 33
maxES,int6,0.2635,0.2377,0.2449,26,33,0.3746,1.0,57 55 21 19 93 91 64 43 28 7 100 79 61 58 25 22 97 94 51 63 99 69 15 27 49 46 62 56 45 52 85 47 26 20 39 53 48 10 68 92 9 59 44 50 6 42 40 2 36 86 38 98 80 54 37 14 74 13 75 87 3 8 81 16 82 88
maxE50,int6,0.2819,0.2588,0.414,22,36,0.4124,0.9986,57 55 21 19 93 54 64 43 65 78 100 6 61 58 97 22 67 94 51 63 88 99 15 27 49 46 62 56 75 53 13 52 26 20 74 47 91 82 68 92 81 59 44 50 7 79 40 39 2 86 37 98 8 14 42 85 38 48 45 87 3 80 9 84 10 16
maxE40,int6,0.446,0.2865,0.4673,22,41,0.3896,0.9986,57 55 21 54 99 19 64 42 28 6 100 79 61 58 25 22 97 94 51 63 93 69 16 27 49 46 62 56 45 53 48 47 26 20 39 59 85 40 98 91 9 52 44 50 7 37 75 15 2 86 1 68 80 14 43 92 74 13 38 87 3 8 81 88 82 10
minCC,int6,0.1079,0.0671,0.1047,19,23,0.5495,1.0,57 55 21 19 93 91 64 43 28 7 100 79 61 58 25 22 97 94 51 63 69 99 15 27 49 46 62 56 45 52 13 82 26 20 39 53 85 10 98 92 81 59 44 50 6 42 40 2 38 86 37 68 80 14 36 54 74 48 75 87 3 8 9 16 47 88
maxES,int7,0.39,0.2599,0.3748,27,39,0.3746,1.0,63 14 97 85 27 15 49 43 48 37 13 7 61 45 67 81 25 9 56 58 26 59 92 94 46 55 44 62 52 50 10 19 80 98 88 86 40 54 8 68 53 51 57 64 95 29 91 34 93 69 39 22 87 65 99 70 105 106 21 101 16 71 23 28 20 100
maxE50,int7,0.1208,0.1424,0.1649,23,27,0.5055,1.0,63 51 60 85 27 15 49 43 48 42 13 7 61 45 67 39 25 9 56 58 68 59 20 22 46 55 44 62 52 50 40 54 80 98 16 14 47 19 8 26 53 86 57 64 95 106 91 34 93 94 81 101 87 65 69 70 105 29 21 28 88 71 33 99 92 100
maxE40,int7,0.0463,0.1297,0.1784,22,27,0.5055,1.0,63 51 60 85 27 15 49 43 48 42 13 7 61 45 67 39 25 9 56 58 68 59 20 22 46 55 44 62 52 50 10 19 80 26 16 86 40 54 8 98 53 14 57 64 95 106 91 34 93 94 81 101 87 65 99 70 105 29 21 28 88 71 69 33 92 100
minCC,int7,0.1081,0.1138,0.1579,23,26,0.5055,1.0,63 51 60 85 27 15 49 43 48 42 13 7 61 45 67 81 25 9 56 58 68 59 92 22 46 55 44 62 52 50 40 54 80 98 16 86 10 19 8 26 88 14 57 64 95 106 91 34 93 94 39 101 87 65 99 70 105 29 21 28 53 71 33 69 20 100
