arm,start,E,ES,E50,E40,PL_PF,CCx,perm
b2,int0,1.0,-0.0217,0.2893,0.3443,0.7902,1.5437,62 56 45 58 26 20 21 22 98 68 92 94 16 63 51 8 80 64 50 44 93 69 15 37 91 27 49 7 79 99 87 54 46 61 52 57 40 97 59 39 11 60 10 9 82 67 53 23 17 25 88 81
b2,int1,1.0,0.0709,0.4023,0.3922,0.5929,1.4938,56 44 64 62 92 80 50 39 20 8 28 26 63 58 55 49 57 46 61 43 69 94 54 48 27 100 91 85 99 22 19 13 45 51 52 65 9 15 16 79 98 93 59 7 38 87 88 37 81 14 53 96
b2,int2,1.0,0.048,0.4452,0.4675,0.6303,1.5298,61 55 45 44 25 19 9 8 97 91 81 80 63 70 58 43 62 51 57 49 99 86 94 7 69 38 22 37 27 14 59 42 64 54 56 46 28 87 68 10 50 88 20 40 100 53 93 82 65 16 92 47
b2,int3,1.0,0.0766,0.3722,0.4933,0.618,1.5302,55 52 51 61 19 16 15 25 91 88 87 97 44 12 64 49 50 62 58 56 8 99 93 85 38 69 21 48 42 27 92 13 57 43 46 45 65 7 10 39 28 37 47 81 100 6 40 9 70 63 82 80
b2,int4,1.0,0.1383,0.5723,0.6194,0.6787,1.5473,46 61 20 64 26 25 16 28 98 97 47 100 51 57 56 45 63 58 55 50 86 21 92 9 82 22 52 39 87 93 68 81 44 62 49 43 80 15 48 79 14 10 54 37 38 0 85 7 8 88 13 42
b2,int5,1.0,0.2216,0.3569,0.3891,0.6057,1.516,44 45 55 61 38 39 54 97 8 9 19 25 56 52 57 43 62 51 58 49 20 88 21 42 92 16 93 50 68 53 59 37 63 64 31 79 27 65 10 14 99 100 47 87 69 28 40 15 98 70 82 86
b2,int6,1.0,0.0155,0.5264,0.575,0.5771,1.5069,97 57 51 43 80 87 81 79 8 10 9 7 50 55 61 94 56 67 62 70 15 54 46 93 86 91 60 39 14 19 63 83 64 58 44 49 28 22 47 85 65 21 40 13 52 59 82 48 100 45 27 84
b2,int7,1.0,0.0626,0.2837,0.301,0.6331,1.5136,50 46 58 43 14 10 22 7 86 82 94 79 49 9 62 51 55 64 63 52 13 97 44 88 85 60 38 15 48 67 25 87 57 56 45 68 99 19 81 37 27 26 8 42 21 20 39 98 93 92 61 80
