arm,start,E,ES,E50,E40,PL_PF,CCx,perm
bN,int0,0.0,0.0997,0.1607,0.1689,0.5393,1.5372,57 58 103 22 93 94 45 52 9 16 81 88 51 46 15 10 87 82 62 50 68 14 98 86 63 55 44 43 49 56 99 54 97 37 85 20 61 19 91 42 48 92 8 64 24 71 25 34 38 70 66 69 105 29 21 106 67 100 27 59 31 65 60 28 26 101
bN,int1,0.0,0.3115,0.25,0.2151,0.7493,1.5331,44 45 80 81 8 9 56 43 92 79 20 7 55 49 91 100 19 28 94 62 48 98 41 68 52 51 58 76 50 57 53 87 22 60 86 21 88 15 64 25 14 93 33 46 70 61 63 82 59 4 101 11 65 83 105 40 97 85 27 39 26 47 69 10 99 16
bN,int10,0.0,0.2179,0.4311,0.2336,0.7792,1.5149,50 63 14 27 87 99 22 43 19 7 24 79 46 64 10 28 82 100 57 51 93 15 21 16 44 61 52 58 49 62 8 25 88 94 48 26 80 67 53 59 13 69 45 40 74 20 38 91 42 97 83 86 56 92 81 54 47 55 39 90 75 18 3 98 9 68
bN,int2,0.0,0.2303,0.0927,0.1047,0.7792,1.5492,45 52 81 88 39 53 61 43 97 79 60 37 62 87 98 51 68 9 63 50 99 86 27 14 58 11 56 82 47 44 22 21 20 28 13 80 16 15 92 100 85 8 64 55 46 90 41 93 57 67 32 18 83 19 40 26 59 25 49 54 102 48 38 91 107 42
bN,int3,0.0,0.2252,0.0915,0.1237,0.6404,1.5122,50 62 14 26 80 98 45 46 9 10 81 82 43 52 7 16 79 88 51 44 15 38 87 8 58 49 56 57 64 63 22 13 92 93 65 99 94 37 86 21 70 27 61 76 25 54 67 84 96 85 31 12 24 18 69 90 32 19 66 48 103 68 97 20 60 91
bN,int4,0.0,0.026,0.4246,0.22,0.7792,1.53,56 97 92 61 20 25 64 50 100 86 28 14 63 46 99 82 27 10 52 58 13 65 48 59 62 57 75 51 44 43 68 21 54 87 80 79 98 93 19 15 38 7 45 49 74 70 11 89 47 17 42 22 39 94 81 16 55 53 8 83 2 76 3 88 9 40
bN,int5,0.0,0.3211,0.1438,0.3109,0.4196,1.5439,51 55 87 91 15 19 44 62 80 98 8 26 88 49 79 85 64 13 46 56 82 20 40 48 7 23 58 59 45 52 70 97 94 86 39 53 100 60 50 14 9 43 57 63 28 101 68 67 54 25 95 105 61 65 93 27 92 32 21 69 81 99 16 106 22 33
bN,int6,0.0,0.0086,0.1362,0.1668,0.7193,1.5499,57 19 21 55 93 91 64 43 28 47 100 79 61 58 25 22 97 94 51 63 69 99 15 27 49 46 62 56 45 52 13 82 44 20 39 53 85 10 98 92 81 59 26 3 6 42 40 2 38 86 37 68 80 14 36 54 74 48 75 87 50 8 9 16 7 88
