arm,start,E,E0,ES,E50,E40,PL_PF,CCx,perm
bE,int0,1.0,0.2863,-0.1677,0.4944,0.5288,0.7894,1.2845,44 56 57 58 26 20 21 22 98 68 92 94 55 63 51 43 49 64 50 45 19 69 15 37 91 27 93 7 54 99 87 79 46 61 52 62 40 97 59 39 82 60 16 9 10 67 53 81 47 25 88 8
bE,int1,1.0,0.0079,0.0259,0.3851,0.3811,0.6387,1.3161,56 44 64 62 92 80 100 98 20 8 28 26 63 58 55 49 57 46 61 50 69 59 54 48 27 65 91 85 99 22 19 13 45 51 42 43 9 15 16 79 39 93 94 7 38 87 88 37 81 14 53 52
bE,int2,1.0,0.0079,0.1274,0.3301,0.2287,0.5161,1.2596,61 55 45 44 25 19 9 8 97 91 81 80 63 50 58 43 62 51 57 49 99 86 94 52 69 38 22 37 27 14 59 42 64 7 56 46 28 87 68 10 70 88 20 40 100 53 93 82 65 16 92 47
bE,int3,1.0,0.0058,-0.0476,0.3063,0.1733,0.5381,1.1361,55 69 51 61 19 16 15 25 91 88 87 97 44 63 57 49 50 62 58 56 8 99 93 85 38 52 21 48 42 27 92 13 64 43 46 45 65 7 10 39 28 37 47 81 100 6 40 9 70 79 82 80
bE,int4,1.0,0.0079,0.0995,0.375,0.2854,0.5382,1.1921,39 61 52 64 26 25 16 28 98 97 88 100 51 57 56 45 63 58 55 50 86 21 92 9 15 22 20 62 87 93 68 81 44 46 49 43 80 82 48 79 14 10 54 37 38 40 85 7 8 47 13 42
bE,int5,1.0,0.1714,-0.0199,0.4418,0.4484,0.7367,1.1436,44 45 55 37 38 39 54 97 8 9 19 25 56 52 57 43 62 51 58 49 20 88 21 42 92 16 93 79 68 53 59 61 63 64 46 50 27 65 10 14 99 100 47 87 69 28 40 15 98 70 82 86
bE,int6,1.0,0.0089,0.0932,0.3562,0.2517,0.5075,1.1983,59 63 45 43 80 99 81 79 8 27 9 7 50 55 61 51 56 57 62 52 15 54 97 93 86 91 60 39 14 19 67 87 64 58 46 49 28 22 47 85 65 21 40 13 70 44 82 48 100 94 10 84
bE,int7,1.0,0.0072,0.1456,0.3163,0.2848,0.4873,1.2684,50 46 58 43 14 10 22 7 86 82 94 79 49 61 62 25 55 64 63 52 13 97 68 88 85 60 98 15 48 67 51 87 57 56 45 44 99 19 81 37 27 26 8 42 21 20 39 38 93 92 9 80
