arm,start,E,ES,E50,E40,PL_PF,CCx,perm
aN,int0,0.227,0.2307,0.2296,0.2498,1.0856,1.5573,59 68 58 22 94 4 62 45 56 16 48 88 81 47 98 10 87 46 13 86 50 31 24 57 63 18 44 43 49 51 99 54 38 37 85 14 27 0 8 42 9 39 61 64 26 71 25 34 97 70 66 69 96 29 67 106 104 100 91 103 20 65 60 28 92 101
aN,int1,0.0,0.2373,0.1861,0.2123,1.1089,1.5378,43 45 61 91 105 9 68 89 92 79 104 4 55 64 7 100 19 28 98 62 48 49 85 56 52 51 58 81 50 57 53 87 22 60 86 8 88 15 94 25 14 93 63 46 70 76 33 82 59 17 101 11 65 83 21 40 97 41 27 39 26 47 69 10 99 16
aN,int10,0.3455,0.2851,0.164,0.1605,0.5495,1.0,50 63 14 27 87 99 55 43 19 7 85 79 46 64 10 28 82 100 57 51 93 15 21 16 44 61 52 58 49 62 8 25 88 94 48 26 80 67 53 59 13 69 45 56 74 20 38 91 42 97 83 86 40 92 81 54 47 22 39 90 75 18 3 98 9 68
aN,int2,0.0763,0.2723,0.197,0.3788,1.0826,1.8092,85 52 86 88 96 53 97 43 90 79 60 42 70 51 98 87 68 9 4 50 40 81 41 61 58 57 56 64 49 44 22 54 20 104 13 38 59 15 92 100 55 80 11 28 5 37 27 3 45 24 69 18 66 19 62 26 16 25 47 21 63 48 99 8 14 39
aN,int3,0.1592,0.1722,0.5539,0.5206,1.0824,1.5442,50 44 86 26 80 98 45 46 9 10 81 82 43 52 62 16 79 88 51 7 85 38 87 8 58 49 90 57 64 63 61 13 92 93 65 99 94 56 103 14 70 68 21 20 25 54 77 12 15 60 91 67 31 18 69 37 32 19 84 48 22 27 11 55 96 24
aN,int4,0.6948,0.1571,0.4704,0.3941,1.08,1.5323,56 57 50 97 20 79 64 58 10 74 28 25 63 95 49 17 61 65 59 91 16 93 83 105 62 27 55 51 106 9 68 21 54 15 44 14 98 99 19 87 86 7 45 52 8 94 43 89 47 46 42 22 92 82 81 13 75 53 38 48 2 76 3 88 39 40
aN,int5,0.614,0.1937,0.4026,0.4482,1.0869,1.5546,38 29 80 91 81 48 28 62 87 98 15 92 43 49 79 85 7 88 46 26 82 20 40 19 64 61 58 12 45 52 70 97 94 86 39 53 100 60 59 14 9 51 57 101 21 63 56 67 54 25 95 105 23 13 93 27 65 32 44 69 74 99 16 106 22 33
aN,int6,0.2276,0.1514,0.1817,0.2801,1.0864,1.5337,57 97 21 8 93 44 64 43 28 19 100 79 61 77 25 0 55 2 51 63 69 50 15 27 49 46 62 56 45 52 13 82 26 20 39 53 85 10 98 92 81 59 80 99 6 42 40 66 38 86 37 68 58 14 91 54 74 48 75 87 3 11 9 16 47 88
