workload,c,r,s,tiles,inter_psum_Gbit,scatter_Gbit,inter_total_Gbit,psum_share
ResNet-50,2,2,1,6372,0.008838,2.101199,2.110037,0.0042
ResNet-50,4,2,2,3190,0.008838,1.050608,1.059446,0.0083
ResNet-50,8,2,4,1595,0.008838,0.525304,0.534142,0.0165
ResNet-50,16,2,8,804,0.008838,0.30761,0.316448,0.0279
ResNet-50,32,2,16,422,0.008838,0.218833,0.227671,0.0388
ResNet-50,64,2,32,271,0.008838,0.196121,0.204959,0.0431
VGG-16,2,2,1,33808,0.054564,8.051458,8.106022,0.0067
VGG-16,4,2,2,16912,0.054564,4.025745,4.080309,0.0134
VGG-16,8,2,4,8456,0.054564,2.012873,2.067436,0.0264
VGG-16,16,2,8,4230,0.054564,1.160577,1.215141,0.0449
VGG-16,32,2,16,2121,0.054564,0.824345,0.878908,0.0621
VGG-16,64,2,32,1078,0.054564,0.728482,0.783045,0.0697
ViT-Base,2,2,1,21069,0.049323,8.424253,8.473576,0.0058
ViT-Base,4,2,2,10536,0.049323,4.21213,4.261453,0.0116
ViT-Base,8,2,4,5268,0.049323,2.106065,2.155388,0.0229
ViT-Base,16,2,8,2634,0.049323,1.053032,1.102355,0.0447
ViT-Base,32,2,16,1317,0.049323,0.526516,0.575839,0.0857
ViT-Base,64,2,32,768,0.049323,0.307433,0.356756,0.1383
